Nome: RESENDE
Codigo Estacao: 83738
Latitude: -22.45111111
Longitude: -44.44472221
Altitude: 439.9
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;26;324.2;28.406452;22.74129;19.364516;null;
2008-02-29;23;438.8;29.351724;23.21931;19.593103;81.206897;
2008-03-31;19;247.9;29.387097;23.196129;19.477419;78.451613;
2008-04-30;14;113.9;27.553333;21.896;18.193333;82.058333;
2008-05-31;5;32.1;25.36129;18.792903;14.396774;77.903226;
2008-06-30;10;37.3;null;17.981667;13.983333;84.075;
2008-07-31;2;10.3;null;null;11.306452;74.056452;
2008-08-31;9;84.5;26.767742;19.595484;14.725806;74.666667;
2008-09-30;11;43.5;25.703333;19.295333;14.966667;75.525;
2008-10-31;18;144.4;27.819355;21.944516;17.987097;78.774194;
2008-11-30;23;363;null;null;null;null;
2008-12-31;21;213.6;null;null;null;null;
2009-01-31;25;334.2;null;null;null;null;
2009-02-28;21;358;null;null;null;null;
2009-03-31;20;212.6;null;null;null;null;
2009-04-30;15;61.9;null;null;null;null;
2009-05-31;9;65.9;null;null;null;null;
2009-06-30;7;28.1;null;null;null;null;
2009-07-31;7;47.7;null;null;null;null;
2009-08-31;11;36.3;25.135484;18.585161;14.132258;75.516129;
2009-09-30;16;111.7;27.586667;21.388667;17.363333;77.983333;
2009-10-31;18;175.4;27.464516;22.134839;18.719355;80.854839;
2009-11-30;18;300.2;31.953333;25.002667;20.773333;76.675;
2009-12-31;23;378.2;29.6;23.908387;20.374194;81.798387;
2010-01-31;20;390.2;31.741935;24.792258;20.864516;null;
2010-02-28;13;83;32.525;25.116429;20.242857;73.660714;
2010-03-31;20;289.6;30.445161;23.728387;19.680645;80.193548;
2010-04-30;10;83.7;28.266667;21.986;18.036667;76.9;
2010-05-31;6;20.3;26.296774;19.432258;14.909677;79.596774;
2010-06-30;7;5;24.346667;16.658667;11.766667;77.458333;
2010-07-31;8;39.2;25.780645;18.576774;13.148387;null;
2010-08-31;4;6;26.516129;18.22;12.280645;68.169355;
2010-09-30;11;87.7;28.336667;20.783333;15.546667;69.383333;
2010-10-31;13;105.8;27.574194;21.095484;16.941935;73.064516;
2010-11-30;20;295.1;28.03;22.188667;18.633333;79.933333;
2010-12-31;26;520;30.935484;24.369032;20.967742;81.201613;
2011-01-31;25;272.8;31.096774;24.94129;21.183871;null;
2011-02-28;14;319.4;32.707143;25.352857;20.521429;72.294643;
2011-03-31;23;431.6;28.167742;23.132903;20.296774;84.080645;
2011-04-30;11;116.8;28.766667;22.573333;18.6;78.108333;
2011-05-31;8;11;24.8;18.950323;14.970968;79.129032;
2011-06-30;5;16.6;23.806667;17.053333;12.22;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;6;3.8;28.351613;19.888387;14.293333;null;
2011-09-30;5;14.1;28.2;19.971333;14.336667;null;
2011-10-31;13;154.1;29.035484;22.172258;17.367742;70.172414;
2011-11-30;16;108.2;27.633333;21.344;17.08;73.825;
2011-12-31;22;259.6;28.722581;22.805161;19.019355;78.701613;
2012-01-31;23;295.9;28.709677;22.784516;19.109677;null;
2012-02-29;8;71.6;32.475862;25.338621;19.975862;67.525862;
2012-03-31;16;216.5;30.219355;23.455484;19.270968;77.278846;
2012-04-30;14;90.9;28.06;22.546;19.31;81.008333;
2012-05-31;10;68.6;25.096774;19.072903;15.248387;79.741935;
2012-06-30;13;70.7;24.66;19.21;16.083333;84.666667;
2012-07-31;4;18.8;25.083871;17.700645;12.870968;77.91129;
2012-08-31;4;8.9;26.76129;19.140645;13.625806;68.516129;
2012-09-30;3;24;28.773333;20.947333;15.456667;69.338235;
2012-10-31;7;65.6;31.56129;23.552258;17.890323;64.959677;
2012-11-30;21;167.9;27.983333;22.387333;18.78;77.641667;
2012-12-31;20;193.3;32.490323;25.296129;21.093548;77.830645;
2013-01-31;28;541.1;28.554839;23.010968;19.796774;null;
2013-02-28;17;244.1;31.207143;24.412143;20.325;79.169643;
2013-03-31;4;268.6;29.019355;23.266452;20.132258;83.524194;
2013-04-30;null;69.5;26.773333;21.265333;17.68;80.208333;
2013-05-31;null;44;26.025806;19.531613;15.477419;null;
2013-06-30;null;15.6;25.466667;19.460667;15.743333;81.925;
2013-07-31;null;102.6;24.270968;17.272258;12.787097;79.169355;
2013-08-31;null;1.1;26.870968;18.585806;12.935484;70.048387;
2013-09-30;null;64.8;27.793333;20.774;15.37;68.316667;
2013-10-31;null;126.2;27.083871;21.26;17.241935;72.58871;
2013-11-30;null;326.1;28.33;22.446;18.313333;75.816667;
2013-12-31;null;199;30.554839;24.21871;20.203226;74.16129;
2014-01-31;null;142.3;33.896774;25.729032;19.980645;null;
2014-02-28;null;84.7;34.028571;26.194286;19.814286;58.223214;
2014-03-31;null;184.7;30.632258;24.063871;19.648387;73.951613;
2014-04-30;null;131.7;28.26;21.986667;18.173333;80.133333;
2014-05-31;null;33.6;26.554839;19.567097;14.880645;77.758065;
2014-06-30;null;30.9;26.246667;18.842;14.116667;81.191667;
2014-07-31;null;54.3;24.103226;17.884516;14.1;80.322581;
2014-08-31;null;18.3;27.025806;18.847097;12.829032;65.195652;
2014-09-30;null;68.6;29.506667;21.346;15.55;63.597826;
2014-10-31;null;109;30.432258;22.556129;16.593548;null;
2014-11-30;null;198.8;29.706667;23.506897;19.403448;71.683333;
2014-12-31;null;172.1;31.732258;24.916774;20.187097;69.983871;
2015-01-31;null;185.2;33.832258;26.071613;20.370968;null;
2015-02-28;null;188.5;30.810714;24.317857;20.5;77.047619;
2015-03-31;null;169.2;29.041935;23.456774;20.229032;81.41129;
2015-04-30;null;104;28.326667;22.514667;18.806667;78.141667;
2015-05-31;null;45.5;25.380645;19.784516;16.193548;79.935484;
2015-06-30;null;18;25.06;18.412667;14.176667;79.933333;
2015-07-31;null;15.9;25.651613;18.974839;14.745161;79.282258;
2015-08-31;null;21.4;28.225806;19.870323;13.293548;65.16129;
2015-09-30;null;87.6;27.846667;21.555333;16.9;74.641667;
2015-10-31;null;60.2;30.393548;23.497419;18.867742;70.145161;
2015-11-30;null;292.8;29.45;24.028667;20.893333;79.85;
2015-12-31;null;216.2;31.109677;24.63871;20.425806;77.58871;
2016-01-31;null;471.9;29.73871;24.075484;20.490323;null;
2016-02-29;null;201.4;32.989655;25.326897;20.582759;74.801724;
2016-03-31;null;313.9;30.767742;24.101935;20.258065;82.483871;
2016-04-30;null;28.9;31.456667;23.911333;18.646667;73.083333;
2016-05-31;null;12.6;26.135484;19.845806;15.970968;78.443548;
2016-06-30;null;132;23.3;17.144667;13.516667;82.883333;
2016-07-31;null;.7;25.735484;17.902581;13.029032;76.508333;
2016-08-31;null;11.5;27.825806;19.414839;13.583871;69.08871;
2016-09-30;null;27.8;28.46;20.904;16.086667;null;
2016-10-31;null;82.8;28.845161;22.462581;18.467742;74.306452;
2016-11-30;null;444;28.8;22.408;18.493333;77.275;
2016-12-31;null;281.8;31.267742;24.141935;19.648387;74.66129;
2017-01-31;null;399.3;31.751613;24.737419;20.83871;null;
2017-02-28;null;85.6;32.357143;25.404286;20.521429;70.383929;
2017-03-31;null;183.9;30.1;23.509677;19.590323;78.25;
2017-04-30;null;65.7;27.726667;21.964667;18.296667;80.091667;
2017-05-31;null;60.8;25.270968;19.685333;16.193333;81.816667;
2017-06-30;null;17.6;25.54;18.542667;13.846667;79.675;
