Nome: TERESOPOLIS
Codigo Estacao: 83744
Latitude: -22.41722221
Longitude: -42.97222221
Altitude: 874.2
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;286.6;25.816129;null;17.596774;null;
2008-02-29;24;347.2;27.134483;null;17.803448;null;
2008-03-31;18;367.6;26.364516;null;17.519355;null;
2008-04-30;17;128.7;25.436667;null;16.9;null;
2008-05-31;9;37;22.893548;null;12.674194;null;
2008-06-30;8;16.5;21.7;null;12.793333;null;
2008-07-31;3;4.8;22.983871;null;9.53871;null;
2008-08-31;10;52.2;23.729032;null;13.43871;null;
2008-09-30;11;57.2;22.616667;null;13.223333;null;
2008-10-31;14;104;25.383871;null;16.529032;null;
2008-11-30;26;255.9;24.006667;null;16.26;null;
2008-12-31;20;301.3;24.767742;null;17.529032;null;
2009-01-31;23;303.8;26.532258;null;18.93871;null;
2009-02-28;13;148.9;28.967857;null;18.971429;null;
2009-03-31;17;123.6;27.56129;null;18.76129;null;
2009-04-30;13;59.7;24.005;null;14.875;null;
2009-05-31;6;54.2;23.76129;null;14.029032;null;
2009-06-30;5;44.2;21.043333;null;11.933333;null;
2009-07-31;10;74.3;21.890323;null;13.690323;null;
2009-08-31;6;13.2;22.703226;null;13.132258;null;
2009-09-30;9;82.2;25.41;null;16.413333;null;
2009-10-31;17;216.1;25.129032;null;17.051613;null;
2009-11-30;17;392.9;28.913333;null;19.426667;null;
2009-12-31;23;352.9;26.664516;null;18.719355;null;
2010-01-31;12;221.5;30.019355;null;19.66129;null;
2010-02-28;7;186.8;30.282143;null;19.560714;null;
2010-03-31;19;346.7;28.109677;null;18.677419;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;9;71.7;22.912903;null;13.564516;null;
2010-06-30;7;43;21.403333;null;10.866667;null;
2010-07-31;7;30.1;22.958065;null;12.951613;null;
2010-08-31;6;5.1;22.967742;null;11.651613;null;
2010-09-30;8;36.2;24.513333;null;14.64;null;
2010-10-31;15;166.3;23.790323;null;15.177419;null;
2010-11-30;21;230.9;24.856667;null;17.123333;null;
2010-12-31;23;446.6;27.458065;null;19.025806;null;
2011-01-31;17;348.3;28.287097;null;19.3;null;
2011-02-28;9;67.3;30.121429;null;19.153571;null;
2011-03-31;23;323.9;25.416129;null;18.070968;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;10;32.6;21.325806;null;12.770968;null;
2011-06-30;5;39.2;20.926667;null;11.833333;null;
2011-07-31;5;13.6;22.306452;null;11.509677;null;
2011-08-31;6;29.2;24.26129;null;13.848387;null;
2011-09-30;7;19.2;23.73;null;12.8;null;
2011-10-31;18;163.4;24.141935;null;16.225806;null;
2011-11-30;13;172.4;22.953333;null;15.41;null;
2011-12-31;22;368.7;25.170968;null;18.16129;null;
2012-01-31;17;360.3;26.174194;null;18.306452;null;
2012-02-29;10;135.3;28.813793;null;18.231034;null;
2012-03-31;14;172;27.409677;null;17.793548;null;
2012-04-30;14;257.9;25.643333;null;17.033333;null;
2012-05-31;10;98.7;21.929032;null;13.390323;null;
2012-06-30;7;44.3;22.916667;null;14.563333;null;
2012-07-31;5;34.5;22.574194;null;12.896774;null;
2012-08-31;8;52.6;22.777419;null;12.558065;null;
2012-09-30;6;95;24.983333;null;14.353333;null;
2012-10-31;6;39.6;27.722581;null;16.941935;null;
2012-11-30;22;220.3;24.296667;null;16.88;null;
2012-12-31;18;133;30.2;null;19.583871;null;
2013-01-31;25;363.5;26.196774;null;18.729032;null;
2013-02-28;15;187.3;29.25;null;19.110714;null;
2013-03-31;20;331.7;26.429032;null;18.767742;null;
2013-04-30;13;78.2;23.503333;null;15.643333;null;
2013-05-31;8;74.2;22.745161;null;13.554839;null;
2013-06-30;8;75.1;22.423333;null;14.476667;null;
2013-07-31;9;98.7;21.6;null;12.329032;null;
2013-08-31;4;22.4;23.616129;null;12.254839;null;
2013-09-30;null;null;null;null;null;null;
2013-10-31;16;116.7;23.941935;null;15.906452;null;
2013-11-30;14;203.7;25.283333;null;16.666667;null;
2013-12-31;21;215.5;26.590323;null;18.803226;null;
