Nome: AVARE
Codigo Estacao: 83773
Latitude: -23.083579
Longitude: -48.911718
Altitude: 831.96
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2014-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;207;27.606452;21.620645;17.819355;null;
2008-02-29;19;237.2;28.47931;22.357241;18.465517;80.146552;
2008-03-31;12;176;28.429032;21.92;17.841935;73.41129;
2008-04-30;14;234.6;26;20.518182;16.895455;76.983333;
2008-05-31;6;96.4;null;null;null;72.040323;
2008-06-30;9;77.9;null;null;null;73.383333;
2008-07-31;0;0;null;null;null;57.08871;
2008-08-31;9;152.2;26.295833;null;null;65.741935;
2008-09-30;9;103;25.26;null;null;61.426471;
2008-10-31;10;145.8;27.225806;21.787826;16.956522;72.830645;
2008-11-30;10;87.1;28.32;21.058667;15.92;null;
2008-12-31;10;138.8;29.545161;22.144667;16.406667;null;
2009-01-31;20;427.6;26.66;21.364667;17.57;86.421053;
2009-02-28;15;145.6;28.728571;23.191852;19.351852;79.305556;
2009-03-31;1;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;8;59.6;21.386207;15.623448;12.682759;74.808333;
2009-07-31;17;206.9;21.645161;16.348387;12.612903;82.459677;
2009-08-31;7;89.4;24.306452;17.952903;13.277419;67.83871;
2009-09-30;13;227.6;25.733333;19.702;15.756667;78.508333;
2009-10-31;9;194.2;26.716129;19.994839;15.393548;77.943548;
2009-11-30;18;221.5;30.08;null;null;75.931034;
2009-12-31;17;273.8;28.122581;22.474839;18.43871;80.532258;
2010-01-31;23;414;28.553333;22.711613;19.441935;84.608333;
2010-02-28;11;200;30.442857;24.347143;20.371429;72.053571;
2010-03-31;12;141;29.170968;22.883226;18.96129;74.306452;
2010-04-30;9;75;26.353333;20.513333;16.686667;72.991667;
2010-05-31;6;33;23.380645;17.543871;13.93871;76.120968;
2010-06-30;3;32.2;23.443333;16.852667;12.68;69.722222;
2010-07-31;5;66.8;24.603226;18.170968;13.754839;67.467742;
2010-08-31;1;.2;25.974194;18.081935;12.841935;59.29;
2010-09-30;8;57.7;27.456667;20.079333;15.193333;null;
2010-10-31;11;145;27.496429;19.287586;14.196667;71.891667;
2010-11-30;5;45;28.378571;21.537143;15.871429;null;
2010-12-31;20;363.6;26.786667;null;17.030769;null;
2011-01-31;17;309.6;null;null;17.896;null;
2011-02-28;18;292.8;null;null;17.8625;null;
2011-03-31;12;129.5;null;null;15.746154;null;
2011-04-30;5;117.8;null;null;14.415385;null;
2011-05-31;1;null;null;null;9.721739;null;
2011-06-30;2;null;null;null;7.859091;null;
2011-07-31;2;null;null;null;10.552381;null;
2011-08-31;4;null;null;null;10.127273;null;
2011-09-30;1;3.4;null;null;13.116667;null;
2011-10-31;5;null;26.742857;20.461905;15.365;null;
2011-11-30;3;null;null;null;null;null;
2011-12-31;6;142.4;29.521739;23.428696;18.626087;null;
2012-01-31;13;246.2;27.618182;21.74;17.641667;null;
2012-02-29;8;null;29.333333;23.866667;19.471429;null;
2012-03-31;2;null;null;null;17.923529;null;
2012-04-30;3;null;null;null;16.63;null;
2012-05-31;1;null;null;null;13.890909;null;
2012-06-30;9;null;null;null;13.777778;null;
2012-07-31;2;null;23.235294;17.368;12.515789;null;
2012-08-31;1;null;null;null;null;null;
2012-09-30;3;67.6;26.8;20.2832;14.496;null;
2012-10-31;9;107.3;29.646154;22.575385;16.318519;null;
2012-11-30;5;36.8;28.716667;21.74;15.6;null;
2012-12-31;12;148.6;31.1;24.184762;18.538462;null;
2013-01-31;10;244.4;28.191667;21.545;16.235714;null;
2013-02-28;15;null;31;22.988182;17.626087;null;
2013-03-31;10;205.8;28.454545;21.54;15.64;null;
2013-04-30;5;116.6;27.83;19.802;12.344;null;
2013-05-31;null;null;24.847059;17.567059;11.561905;null;
2013-06-30;null;null;24.983333;17.107778;11.12381;null;
2013-07-31;null;null;24.533333;16.918667;10.145;null;
2013-08-31;null;null;26.173333;18.714667;12.163636;null;
2013-09-30;null;53.6;25.73;19.056842;12.182609;null;
2013-10-31;null;66.6;28.622222;20.582222;14.328;null;
2013-11-30;null;null;null;null;null;null;
2013-12-31;null;null;null;null;16.231579;null;
2014-01-31;null;null;null;null;16.12381;null;

