Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;318.5;26.66129;21.599355;18.445161;77.629032;
2008-02-29;18;236.3;28.289655;22.666207;19.003448;76.62931;
2008-03-31;16;180.8;27.387097;22.131613;18.625806;75.491935;
2008-04-30;12;96.6;25.986667;21.069333;17.513333;74.675;
2008-05-31;7;80.3;22.925806;17.734194;13.929032;70.741935;
2008-06-30;8;78.2;22.55;17.020667;13.253333;76.75;
2008-07-31;0;0;24.322581;17.496774;12.551613;62.91129;
2008-08-31;8;78.5;24.996774;18.853548;14.577419;69.725806;
2008-09-30;11;43.9;23.52;17.837333;13.993333;71.3;
2008-10-31;13;161.4;26.835484;20.801935;16.803226;75.540323;
2008-11-30;14;165.1;26.356667;20.723333;17.16;77.583333;
2008-12-31;12;220.2;27.274194;21.251613;17.16129;76.08871;
2009-01-31;17;351.8;27.283871;22.403871;18.86129;82.782258;
2009-02-28;16;200.2;29.342857;23.729286;19.928571;75.455357;
2009-03-31;12;125.7;28.746667;23.6536;19.989286;77.092593;
2009-04-30;10;69.6;25.566667;20.358182;16.87037;79.115385;
2009-05-31;8;50;25.214286;19.62;15.542308;78.956522;
2009-06-30;6;49.8;21.408696;15.829;11.66;78.043478;
2009-07-31;16;179.7;21.976;17.153043;13.358333;83.32;
2009-08-31;9;102.8;24.5;18.277419;13.751613;68.475806;
2009-09-30;12;192.2;25.08;19.729333;16.143333;77.258333;
2009-10-31;13;154.5;25.483871;19.996774;16.467742;79.048387;
2009-11-30;16;177.3;29.92;24.104;20.313333;73.383333;
2009-12-31;15;363.7;28.312903;22.617419;19.209677;77.959677;
2010-01-31;26;480.5;28.983871;23.391613;19.848387;80.33871;
2010-02-28;14;296.5;30.878571;24.685;20.592857;69.964286;
2010-03-31;18;184.5;28.803226;23.016774;19.416129;74.516129;
2010-04-30;10;124.5;25.693333;20.624667;17.02;74.125;
2010-05-31;8;65.2;23.732258;18.423871;14.832258;74.548387;
2010-06-30;4;13.1;22.726667;16.820667;12.726667;70.166667;
2010-07-31;5;93.5;24.290323;18.363226;14.164516;71.129032;
2010-08-31;2;.4;24.16129;17.489677;12.816129;64.33871;
2010-09-30;10;104.8;25.996667;19.715333;15.52;70.483333;
2010-10-31;11;70.1;24.570968;18.591613;14.909677;75.137097;
2010-11-30;11;109.6;27.28;21.056667;16.973333;72.041667;
2010-12-31;18;343.1;28.354839;22.912903;19.3;77.846774;
2011-01-31;19;493.7;29.490323;23.854194;20.383871;78.185484;
2011-02-28;12;311.5;30.446429;24.360714;20.325;72.839286;
2011-03-31;14;164;25.923333;21.702667;18.893333;80.6;
2011-04-30;10;133;27.246667;21.75037;18.056667;75.525;
2011-05-31;5;30.4;22.990323;17.690323;14.283871;75.16129;
2011-06-30;4;81.6;22.29;15.961333;11.503333;72.658333;
2011-07-31;2;4.5;23.716129;17.483226;13.090323;70.967742;
2011-08-31;8;46.3;24.941935;18.303871;13.758065;69.895161;
2011-09-30;2;7.4;25.79;18.246;13.56;67.208333;
2011-10-31;14;149.6;26.264516;20.216774;16.432258;72.733871;
2011-11-30;6;141.3;26.19;20.013333;15.81;71.125;
2011-12-31;14;136.8;27.758065;22.199355;18.254839;69.854839;
2012-01-31;20;332.6;27.045161;21.443871;17.919355;77.975806;
2012-02-29;14;224.2;30.696552;24.485517;20.131034;71.577586;
2012-03-31;10;187.6;28.835484;22.409677;18.225806;73.153226;
2012-04-30;11;155.9;26.9;21.237333;17.87;78.283333;
2012-05-31;10;82.7;23.1;18.083226;14.593548;77.322581;
2012-06-30;10;233.7;22.216667;17.806;14.403333;81.05;
2012-07-31;8;74.7;23.425806;17.717419;13.341935;70.16129;
2012-08-31;1;.3;25.693548;18.949032;14.258065;65.306452;
