Nome: CAMPO MOURAO
Codigo Estacao: 83783
Latitude: -24.08555555
Longitude: -52.38666666
Altitude: 602.17
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2016-12-21
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;14;154.2;null;null;17.66129;88.629032;
2008-02-29;13;78.5;null;null;17.458621;88.715517;
2008-03-31;13;174.3;null;null;16.325806;86.556452;
2008-04-30;12;92.3;null;null;14.016667;88.383333;
2008-05-31;5;109.3;null;null;9.496774;89.193548;
2008-06-30;13;94.6;null;null;8.13;90.133333;
2008-07-31;3;32.7;null;null;9.864516;85.75;
2008-08-31;15;285.2;null;null;11.33871;87.104839;
2008-09-30;7;73.3;null;null;9.843333;81;
2008-10-31;11;94.6;null;null;14.954839;85.209677;
2008-11-30;9;138.9;29;22.057333;16.666667;70.85;
2008-12-31;10;100.9;31.3;23.436774;16.664516;74.120968;
2009-01-31;13;205.3;28.252632;22.113684;16.864516;86.766129;
2009-02-28;12;121.2;null;null;17.8;80.482143;
2009-03-31;8;114.3;null;null;16.5;82.064516;
2009-04-30;4;51.7;28.54;21.12;15.853333;79.658333;
2009-05-31;14;243.6;24.651613;18.300645;13.887097;86.370968;
2009-06-30;11;123.3;19.876667;13.936;9.666667;87.241667;
2009-07-31;15;229.6;21.083871;15.776774;11.890323;90.16129;
2009-08-31;9;88.1;24.012903;17.080645;12.132258;83.798387;
2009-09-30;13;197.5;26.233333;19.734667;15.11;86.525;
2009-10-31;13;334.4;27.903226;21.394194;16.470968;83.145161;
2009-11-30;14;193.1;31;24.598;20.08;85.291667;
2009-12-31;12;91.2;29.496774;24.004516;19.980645;86.483871;
2010-01-31;20;276.4;28.948387;23.86;20.332258;92.346774;
2010-02-28;14;189.9;29.9;24.153571;20.225;91.482143;
2010-03-31;12;156.4;29.66129;22.954839;17.822581;89.056452;
2010-04-30;9;155;27.44;20.819333;15.696667;88.758333;
2010-05-31;8;101.9;22.158065;16.519355;12.13871;92.169355;
2010-06-30;4;26.8;23.446667;16.378;11.646667;90.466667;
2010-07-31;10;43.6;23.822581;16.96;11.696774;88.927419;
2010-08-31;4;8.1;25.993548;17.22129;11.693548;83.596774;
2010-09-30;6;87.1;27.846667;20.143333;13.493333;76.441667;
2010-10-31;13;186.6;26.816129;19.922581;13.693548;79.91129;
2010-11-30;9;133.4;28.826667;21.438;15.016667;78.4;
2010-12-31;15;346.4;28.119355;22.620645;18.3;83.040323;
2011-01-31;15;130.9;29.696774;23.497419;18.76129;83.314516;
2011-02-28;18;225.6;29.057143;23.310714;19.475;85.660714;
2011-03-31;13;176.5;28.851613;23.101935;18.509677;74.83871;
2011-04-30;10;100.5;27.376667;20.726667;15.76;77.7;
2011-05-31;3;9.1;24.235484;16.874839;11.135484;75.217742;
2011-06-30;6;160.8;21.913333;14.638667;8.57;86.666667;
2011-07-31;10;208.3;23.454839;16.354839;10.848387;86.879032;
2011-08-31;10;167;23.790323;16.791613;11.374194;85.653226;
2011-09-30;6;43.5;27.186667;18.917333;11.69;83.925;
2011-10-31;15;231.4;27.806452;21.184516;15.935484;89.080645;
2011-11-30;8;148.9;28.236667;21.548667;15.633333;82.75;
2011-12-31;8;71.9;30.4;22.894194;16.017241;70.016129;
2012-01-31;10;208.2;29.312903;22.154194;15.716129;89.870968;
2012-02-29;10;82.5;31.893103;23.954483;17.137931;88.198276;
2012-03-31;7;68;30.432258;21.934194;14.490323;85.451613;
2012-04-30;9;263;26.976667;20.016667;14.053333;90.675;
2012-05-31;6;85.1;23.454839;17.163871;12.012903;90.83871;
2012-06-30;12;225;21.73;16.015333;11.166667;93.591667;
2012-07-31;7;40.8;22.880645;15.608;10.509677;90.387097;
2012-08-31;2;4.1;27.570968;19.690968;15.596774;82.677419;
2012-09-30;6;32.3;29.966667;21.593333;16.44;78.533333;
2012-10-31;13;111.2;30.66129;22.796774;16.125806;82.58871;
2012-11-30;15;49.1;30.14;23.1;17.196667;87.291667;
2012-12-31;18;250.4;31.245161;24.631613;19.690323;91.491935;
2013-01-31;10;286.3;29.125806;22.572903;17.096774;79.217742;
2013-02-28;20;356.2;28.939286;22.832143;18.7;83.910714;
2013-03-31;null;308.1;28.23871;21.999355;17.664516;83.33871;
2013-04-30;null;77.8;26.74;19.655333;13.69;90.125;
2013-05-31;null;180.5;24.370968;17.963226;12.487097;91.096774;
2013-06-30;null;348.6;null;null;null;95.491667;
2013-07-31;null;71.5;22.43871;14.725161;8.687097;91.645161;
2013-08-31;null;10.4;24.606452;15.972903;9.193548;83.846774;
2013-09-30;null;112.9;26.993333;19.453333;12.92;82.25;
2013-10-31;null;162.2;28.06129;21.063871;14.383871;82.725806;
2013-11-30;null;94.9;null;null;17.753571;83.283333;
2013-12-31;null;101.8;null;null;18.883871;88.169355;
2014-01-31;null;219.7;null;null;19.009677;92.064516;
2014-02-28;null;171.5;null;null;19.046429;87.696429;
2014-03-31;null;195.3;null;null;17.519355;89.798387;
2014-04-30;null;146;null;null;16.983333;91.2;
2014-05-31;null;205.4;null;null;13.154839;93.096774;
2014-06-30;null;325.5;null;null;13.033333;92.983333;
2014-07-31;null;110.5;null;null;10.664516;91.583333;
2014-08-31;null;30;null;null;11.822581;85.991935;
2014-09-30;null;240.7;null;null;14.966667;85.766667;
2014-10-31;null;96.9;null;null;16.990323;79.282258;
2014-11-30;null;187.5;null;null;19.15;85.758333;
2014-12-31;null;234;null;null;18.641935;89.604839;
2015-01-31;null;367.6;null;null;18.306452;89.080645;
2015-02-28;null;260.2;null;null;17.6;91.4375;
2015-03-31;null;104;null;null;17.064516;90.024194;
2015-04-30;null;36.9;null;null;15.256667;86.6;
2015-05-31;null;194.6;null;null;12.990323;90.564516;
2015-06-30;null;57;null;null;11.563333;89.991667;
2015-07-31;null;477.1;null;null;11.383871;92.193548;
2015-08-31;null;42.4;null;null;15.222581;85.145161;
2015-09-30;null;267.9;null;null;16.683333;86.9;
2015-10-31;null;219.3;30.016667;23.216;17.974194;74.120968;
2015-11-30;null;493.6;27.463333;22.418667;18.86;87.95;
2015-12-31;null;283;28.262069;23.345517;19.958065;93.153226;
2016-01-31;null;167.3;null;null;19.970968;91.169355;
2016-02-29;null;270.9;null;null;21.2;93.698276;
2016-03-31;null;157.3;null;null;17.690323;89.169355;
2016-04-30;null;68.4;null;null;17.416667;85.725;
2016-05-31;null;237.4;null;null;12.906452;91.217742;
2016-06-30;null;142.1;null;null;9.6;90.45;
2016-07-31;null;56.9;null;null;10.141935;87.677419;
2016-08-31;null;199.7;null;null;11.756667;90.541667;
2016-09-30;null;49.2;null;null;11.643333;86.808333;
2016-10-31;null;326.9;null;null;16.074194;87.104839;
2016-11-30;null;74.8;null;null;16.893333;85.396552;
2016-12-31;null;null;null;null;18.318182;91.238095;

