Nome: TAUBATE
Codigo Estacao: 83784
Latitude: -23.0388889
Longitude: -45.5158333
Altitude: 581
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2014-08-10
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;null;null;null;null;null;null;
2008-02-29;18;187.4;30.065517;23.007586;18.531034;null;
2008-03-31;17;270.4;29.367742;22.286452;17.716129;null;
2008-04-30;15;171.2;27.686667;21.242667;16.873333;null;
2008-05-31;5;35.6;24.925806;17.226452;12.077419;null;
2008-06-30;7;50.7;24.323333;17.103333;12.34;null;
2008-07-31;0;0;25.658065;15.674839;8.741935;null;
2008-08-31;8;91.9;27.070968;18.727742;12.735484;null;
2008-09-30;5;59.6;26.11;18.551333;12.653333;75.515625;
2008-10-31;9;93.1;29.045161;21.929032;16.541935;74.66129;
2008-11-30;15;246.6;28.436667;21.580667;16.853333;78.125;
2008-12-31;17;311.5;29.332258;22.066452;17.180645;77.024194;
2009-01-31;21;226.1;29.345161;23.039355;18.922581;82.104839;
2009-02-28;18;439.9;31.489286;24.025;19.092857;78.660714;
2009-03-31;15;99.1;30.664516;23.633548;19.103226;79.056452;
2009-04-30;6;81.2;27.706667;20.563333;15.533333;79.858333;
2009-05-31;8;69.7;26.548387;18.692258;13.187097;80.201613;
2009-06-30;7;42;23.186667;15.072;9.086667;80.608333;
2009-07-31;10;97.5;23.903226;16.889032;11.451613;83.290323;
2009-08-31;6;43.1;25.896774;17.663226;11.212903;75.822581;
2009-09-30;9;111.7;27.916667;20.577241;15.113333;77.543103;
2009-10-31;10;84.1;28.751613;21.516774;15.780645;null;
2009-11-30;9;77.2;32.466667;24.738667;18.346667;null;
2009-12-31;17;267.6;30.096774;23.298065;17.741935;null;
2010-01-31;1;null;null;null;null;null;
2010-02-28;10;41.3;32.642857;24.73;18.771429;null;
2010-03-31;15;138.2;30.629032;23.444516;18.709677;null;
2010-04-30;6;61.8;28.23;21.051333;15.92;null;
2010-05-31;6;20;26.109677;18.533548;13.232258;null;
2010-06-30;1;3.2;24.706667;15.604;9.266667;null;
2010-07-31;5;40;26.087097;17.587742;11.251613;null;
2010-08-31;0;0;26.887097;17.275484;9.832258;null;
2010-09-30;8;56.2;28.353333;20.121333;13.58;null;
2010-10-31;8;60.4;27.987097;20.421935;15.245161;null;
2010-11-30;12;68.4;29.616667;22.266;17.1;null;
2010-12-31;18;113.5;31.335484;24.247742;20.122581;null;
2011-01-31;1;null;null;null;null;null;
2011-02-28;15;103.3;33.214286;24.67;19.578571;null;
2011-03-31;21;217;28.564516;22.680645;19.109677;null;
2011-04-30;13;124.2;28.923333;21.876667;17.26;null;
2011-05-31;5;23.7;25.616129;17.921935;13;null;
2011-06-30;3;34.2;23.97;15.387333;9.266667;null;
2011-07-31;1;1.2;25.258065;16.554839;10.393548;null;
2011-08-31;5;6.4;27.319355;18.598065;12.677419;null;
2011-09-30;2;16.3;28.72;19.145333;12.606667;null;
2011-10-31;9;88.4;29.074194;21.529677;15.883871;null;
2011-11-30;9;104.6;28.946667;21.203333;15.733333;null;
2011-12-31;13;89.4;30.522581;23.067097;18.006452;null;
2012-01-31;1;null;null;null;null;null;
2012-02-29;8;62.8;33.375862;24.844828;19.048276;null;
2012-03-31;9;112;30.641935;22.847097;17.645161;null;
2012-04-30;10;55.2;28.903333;21.911333;17.486667;null;
2012-05-31;5;71.8;25.816129;18.115484;12.625806;null;
2012-06-30;10;93.8;24.416667;17.75;13.46;null;
2012-07-31;4;39.2;25.619355;16.534194;10.316129;null;
2012-08-31;1;7.6;27.203226;18.118065;10.916129;null;
2012-09-30;3;9.8;29.683333;20.436667;13.153333;null;
2012-10-31;10;52.8;32.1;23.109032;16.16129;null;
2012-11-30;9;71.6;29.91;22.219333;16.713333;null;
2012-12-31;18;254.8;33;25.098065;20.090323;null;
2013-01-31;1;null;null;null;null;null;
2013-02-28;17;198.4;32.117857;23.903571;19.464286;null;
2013-03-31;18;121.4;30.051613;22.990968;19.096774;null;
2013-04-30;6;28;27.663333;20.406;15.686667;null;
2013-05-31;1;39.4;26.483871;18.823226;13.922581;null;
2013-06-30;null;18.3;25.293333;18.596;14.4;null;
2013-07-31;null;57.8;24.670968;16.421935;11.051613;null;
2013-08-31;null;2.8;27.596774;17.647097;10.645161;null;
2013-09-30;null;33.8;29.1;20.101333;13.98;null;
2013-10-31;null;96.2;28.580645;21.163871;16.425806;null;
2013-11-30;null;132.4;30.473333;22.665333;17.56;null;
2013-12-31;null;84.6;32.570968;24.373548;19.354839;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;42.4;35.985714;26.11;19.221429;null;
2014-03-31;null;98.4;32.335484;23.712258;18.690323;null;
2014-04-30;null;54.8;29.08;21.374;16.66;null;
2014-05-31;null;13.2;28.055556;18.595556;12.987097;null;
2014-06-30;null;17.6;null;null;12.686667;null;
2014-07-31;null;27.8;null;null;11.219355;null;
2014-08-31;null;null;null;null;null;null;

