Nome: UBATUBA
Codigo Estacao: 83786
Latitude: -23.416697
Longitude: -45.114373
Altitude: 19.55
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2009-03-05
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;348.8;29.509677;24.336774;20.341935;null;
2008-02-29;23;253.4;30.072414;24.597143;20.665517;null;
2008-03-31;17;261;30.112903;24.250667;20.035484;null;
2008-04-30;18;251.6;28.53;22.982;19.016667;null;
2008-05-31;13;73.5;26.416129;19.49;14.893548;null;
2008-06-30;13;89.7;24.706667;18.959333;14.96;null;
2008-07-31;0;0;26.258065;18.108;12.154839;null;
2008-08-31;13;177.7;26.170968;20.101935;15.441935;null;
2008-09-30;22;196.1;24.806667;19.589655;15.53;null;
2008-10-31;18;335.9;26.593548;21.971613;18.396774;null;
2008-11-30;25;486.8;26.023333;22.246;18.893333;null;
2008-12-31;17;252.3;27.667742;23.167097;19.045161;null;
2009-01-31;22;285.9;29.793548;24.815484;21.387097;null;
2009-02-28;15;247.2;31.928571;25.889231;21.542857;null;
2009-03-31;null;null;null;null;null;null;

