Nome: ANGRA DOS REIS
Codigo Estacao: 83788
Latitude: -23.01583333
Longitude: -44.32972221
Altitude: 17.04
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2017-04-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;17;202.6;28.319355;null;21.877419;null;
2008-02-29;18;199.7;28.32069;null;21.924138;null;
2008-03-31;12;217.7;28.170968;null;21.73871;null;
2008-04-30;17;192.1;26.946667;null;20.846667;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;12;95.3;23.53;null;17.176667;null;
2008-07-31;3;2.7;24.280645;null;16.096774;null;
2008-08-31;11;120.5;24.683871;null;18.045161;null;
2008-09-30;17;108.7;23.57;null;17.163333;null;
2008-10-31;13;140.9;25.787097;null;19.764516;null;
2008-11-30;19;209.3;24.926667;null;19.776667;null;
2008-12-31;17;197.7;26.003226;null;20.370968;null;
2009-01-31;22;302.5;28.180645;null;22.032258;null;
2009-02-28;13;217.3;30.246429;null;22.842857;null;
2009-03-31;15;201.9;29.325806;null;22.735484;null;
2009-04-30;15;255;26.866667;null;19.863333;null;
2009-05-31;13;130.3;25.887097;null;18.706452;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;16;183;23.016129;null;17.06129;null;
2009-08-31;13;57.5;24.025806;null;17.267742;null;
2009-09-30;18;141.2;25.396667;null;19.156667;null;
2009-10-31;5;31.4;null;null;null;null;
2009-11-30;11;143.4;30.476667;null;23.013333;null;
2009-12-31;11;355.1;28.684;null;22.169231;null;
2010-01-31;15;412.5;30.777419;null;23.45;null;
2010-02-28;8;220;32.342857;null;23.403571;null;
2010-03-31;17;358.9;28.774194;null;21.803226;null;
2010-04-30;12;294.4;27.3;null;19.758333;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;12;88.8;23.326667;null;15.633333;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;11;44.3;23.519355;null;15.929032;null;
2010-09-30;14;111.4;24.513333;null;18.026667;null;
2010-10-31;17;132.6;24.141935;null;18.164516;null;
2010-11-30;18;206.6;26.063333;null;20.11;null;
2010-12-31;23;585.7;28.545161;null;22.674194;null;
2011-01-31;17;197.2;30.56129;null;23.8;null;
2011-02-28;8;62.1;31.378571;null;23.703571;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;13;214.4;27.7;null;21.09;null;
2011-05-31;14;114.9;24.480645;null;17.748387;null;
2011-06-30;6;28.2;23.184615;null;15.873077;null;
2011-07-31;8;60;23.125806;null;16.090323;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;9;65.7;22.866667;null;16.41;null;
2011-10-31;12;151.8;25.393548;null;18.725806;null;
2011-11-30;10;101.1;24.996667;null;18.516667;null;
2011-12-31;15;185.6;27.529032;null;20.593548;null;
2012-01-31;20;217.6;28.054839;null;20.935484;null;
2012-02-29;7;71.2;30.344828;null;22.168966;null;
2012-03-31;12;100.5;28.354839;null;21.325806;null;
2012-04-30;12;102;26.896667;null;20.923333;null;
2012-05-31;11;191.3;24.887097;null;17.741935;null;
2012-06-30;null;null;null;null;null;null;
2012-07-31;9;66.7;24.106452;null;16.622581;null;
2012-08-31;6;25.8;25.012903;null;16.877419;null;
2012-09-30;null;null;null;null;null;null;
2012-10-31;10;106.2;26.754839;null;19.558065;null;
2012-11-30;14;129.6;25.35;null;19.88;null;
2012-12-31;12;100.4;30.670968;null;23.158065;null;
2013-01-31;24;831.6;28.180645;null;21.387097;null;
2013-02-28;null;130.2;29.889286;null;23.018519;null;
2013-03-31;null;457.2;28.064516;null;22.219355;null;
2013-04-30;null;93.5;26.343333;null;19.716667;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;null;60.2;24.68;null;18.916667;null;
2013-07-31;null;109.8;23.125806;null;16.46129;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;null;69.9;25.436667;null;18.106667;null;
2013-10-31;null;130.5;25.164516;null;19.148387;null;
2013-11-30;null;224.6;26.7;null;20.323333;null;
2013-12-31;null;102.4;28.303226;null;22.06129;null;
2014-01-31;null;115;32.225806;null;24.012903;null;
2014-02-28;null;106.9;31.328571;null;23.35;null;
2014-03-31;null;237.1;29.364516;null;22.63871;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;92.5;25.258065;null;18.422581;null;
2014-06-30;null;50.3;null;null;null;null;
2014-07-31;null;111.2;null;null;null;null;
2014-08-31;null;40.3;24.648387;null;16.570968;null;
2014-09-30;null;47;26.333333;null;18.516667;null;
2014-10-31;null;54.2;26.683871;null;19.193548;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;null;65.7;30.2;null;22.53871;null;
2015-01-31;null;254;32.567742;null;24.067742;null;
2015-02-28;null;345.9;30.878571;null;23.389286;null;
2015-03-31;null;283;28.816129;null;22.780645;null;
2015-04-30;null;262.1;27.503333;null;21.22;null;
2015-05-31;null;89.2;25.803226;null;19.045161;null;
2015-06-30;null;161.1;25.25;null;17.783333;null;
2015-07-31;null;29.8;25.006452;null;18.203226;null;
2015-08-31;null;23.9;26.390323;null;17.867742;null;
2015-09-30;null;124.3;26.143333;null;19.583333;null;
2015-10-31;null;null;null;null;null;null;
2015-11-30;null;179.6;27.166667;null;22.59;null;
2015-12-31;null;129.9;30.535484;null;23.203226;null;
2016-01-31;null;360.7;28.574194;null;22.76129;null;
2016-02-29;null;165;31.82069;null;23.696552;null;
2016-03-31;null;231.4;29.609677;null;22.974194;null;
2016-04-30;null;27.6;30.483333;null;22.53;null;
2016-05-31;null;98.2;24.987097;null;18.76129;null;
2016-06-30;null;150.7;21.876667;null;16.703333;null;
2016-07-31;null;9.6;23.796774;null;16.709677;null;
2016-08-31;null;54.2;24.676667;null;17.126667;null;
2016-09-30;null;82.8;24.633333;null;18.506667;null;
2016-10-31;null;120.6;25.812903;null;20.141935;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;null;144.8;29.709677;null;22.206452;null;
2017-01-31;null;307.5;31.254839;null;23.735484;null;
2017-02-28;null;48.3;31.223077;null;23.553571;null;
2017-03-31;null;212.8;28.416667;null;21.656522;null;
2017-04-30;null;137.7;26.95;null;20.936667;null;

