Nome: SANTA CRUZ
Codigo Estacao: 83789
Latitude: -22.92194443
Longitude: -43.68694444
Altitude: 63
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2019-12-18
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;169.4;30.745161;null;22.451613;null;
2008-02-29;14;214.8;30.9;null;21.306897;null;
2008-03-31;9;206.2;31.390323;null;21.935484;null;
2008-04-30;14;156.1;29.49;null;20.836667;null;
2008-05-31;9;88.2;27.519355;null;18.177419;null;
2008-06-30;9;68.7;25.97;null;17.846667;null;
2008-07-31;4;15.4;27.854839;null;16.719355;null;
2008-08-31;9;84.7;28.106452;null;18.732258;null;
2008-09-30;14;82.1;25.976667;null;17.74;null;
2008-10-31;14;79.8;28.596774;null;19.977419;null;
2008-11-30;19;124.1;27.703333;null;19.866667;null;
2008-12-31;14;138.9;28.690323;null;20.725806;null;
2009-01-31;20;241.8;31.732258;null;22.903226;null;
2009-02-28;9;119.9;33.875;null;22.485714;null;
2009-03-31;14;98.4;32.229032;null;22.816129;null;
2009-04-30;14;142.5;29.073333;null;20.146667;null;
2009-05-31;10;56.8;28.464516;null;19.048387;null;
2009-06-30;8;66.3;25.323333;null;16.916667;null;
2009-07-31;17;78;24.96129;null;17.796774;null;
2009-08-31;12;47.5;27.216129;null;17.874194;null;
2009-09-30;12;95.3;28.583333;null;20.073333;null;
2009-10-31;19;156.1;27.748387;null;20.219355;null;
2009-11-30;9;94.1;33.35;null;23.68;null;
2009-12-31;18;319.1;30.832258;null;22.548387;null;
2010-01-31;12;133.7;35.032258;null;24.612903;null;
2010-02-28;8;160.1;36.235714;null;23.596429;null;
2010-03-31;17;241.7;32.148387;null;22.322581;null;
2010-04-30;13;331.2;29.546667;null;20.496667;null;
2010-05-31;11;66;28.164516;null;18.76129;null;
2010-06-30;8;67;26.383333;null;16.393333;null;
2010-07-31;7;66.4;27.422581;null;17.967742;null;
2010-08-31;6;22.6;26.73871;null;17.267742;null;
2010-09-30;10;74.4;27.75;null;18.436667;null;
2010-10-31;15;106.8;27.3;null;18.619355;null;
2010-11-30;16;116.2;29.1;null;20.49;null;
2010-12-31;16;179.3;31.658065;null;22.625806;null;
2011-01-31;13;70.8;34.067742;null;23.548387;null;
2011-02-28;3;26.6;36.285714;null;24.864286;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;8;215.9;31.256667;null;21.626667;null;
2011-05-31;13;115.6;26.819355;null;18.183871;null;
2011-06-30;8;39.4;25.906667;null;16.656667;null;
2011-07-31;6;20.7;27.054839;null;17.006452;null;
2011-08-31;5;23.8;28.167742;null;18.46129;null;
2011-09-30;6;25.4;27.316667;null;17.493333;null;
2011-10-31;11;128.7;28.332258;null;19.458065;null;
2011-11-30;11;110.2;27.593333;null;19.133333;null;
2011-12-31;16;158.7;30.187097;null;21.087097;null;
2012-01-31;13;202.3;31.309677;null;22.070968;null;
2012-02-29;5;72.4;35.210345;null;22.472414;null;
2012-03-31;13;92.8;32.367742;null;21.925806;null;
2012-04-30;10;105.7;30.24;null;21.15;null;
2012-05-31;9;106.6;27.551613;null;18.480645;null;
2012-06-30;14;115.7;26.876667;null;19.086667;null;
2012-07-31;8;43.6;27.077419;null;18.145161;null;
2012-08-31;7;18.8;28.403226;null;17.487097;null;
2012-09-30;8;111.5;28.03;null;18.48;null;
2012-10-31;7;69.7;31.203226;null;20.377419;null;
2012-11-30;12;101.7;28.086667;null;20.533333;null;
2012-12-31;7;52.6;35.4;null;23.987097;null;
2013-01-31;22;487.6;30.770968;null;22.374194;null;
2013-02-28;8;176.2;34.896429;null;23.246429;null;
2013-03-31;21;261.9;30.787097;null;22.380645;null;
2013-04-30;8;138.2;29.326667;null;20.093333;null;
2013-05-31;11;96.6;28.080645;null;18.796774;null;
2013-06-30;10;52.6;27.475862;null;19.063333;null;
2013-07-31;13;129.5;25.729032;null;16.932258;null;
2013-08-31;5;4.9;27.496774;null;17.529032;null;
2013-09-30;8;64.2;28.69;null;18.85;null;
2013-10-31;11;79;28.332258;null;19.635484;null;
2013-11-30;14;172.6;29.836667;null;20.61;null;
2013-12-31;null;97.2;30.796774;null;22.116129;null;
2014-01-31;null;91.2;36.716129;null;24.412903;null;
2014-02-28;null;14.1;37.235714;null;24.114286;null;
2014-03-31;null;150.5;33.332258;null;22.203226;null;
2014-04-30;null;70.6;29.333333;null;20.693333;null;
2014-05-31;null;57.9;27.954839;null;18.777419;null;
2014-06-30;null;73.2;27.9;null;18.95;null;
2014-07-31;null;83.8;25.86129;null;17.593548;null;
2014-08-31;null;62.3;27.493548;null;17.570968;null;
2014-09-30;null;59.4;29.95;null;19.156667;null;
