Nome: REALENGO
Codigo Estacao: 83801
Latitude: -22.8711111
Longitude: -43.44138888
Altitude: 42
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;160.2;30.370968;null;21.935484;null;
2008-02-29;13;179.7;31.751724;null;22.803448;null;
2008-03-31;8;154.6;31.596774;null;22.716129;null;
2008-04-30;14;109.5;30.28;null;21.183333;null;
2008-05-31;7;51.6;27.777419;null;17.658065;null;
2008-06-30;9;31.4;26.553333;null;17.163333;null;
2008-07-31;3;22.7;27.612903;null;15.029032;null;
2008-08-31;10;27.9;27.71;null;18.209677;null;
2008-09-30;14;57.7;25.55;null;17.453333;null;
2008-10-31;12;80.4;28.483871;null;20.758065;null;
2008-11-30;18;135.2;27.33;null;20.946667;null;
2008-12-31;15;161.6;28.248387;null;21.687097;null;
2009-01-31;15;116.5;31.035484;null;23.025806;null;
2009-02-28;8;66.1;33.492857;null;23.810714;null;
2009-03-31;13;111.2;31.664516;null;23.441935;null;
2009-04-30;13;98.1;28.926667;null;20.406667;null;
2009-05-31;8;74.1;28.953333;null;18.935484;null;
2009-06-30;8;50.4;25.193333;null;16.606667;null;
2009-07-31;16;82.1;25.467742;null;17.358065;null;
2009-08-31;8;25.1;27.325806;null;17.777419;null;
2009-09-30;9;94.9;29.24;null;20.55;null;
2009-10-31;16;118.6;28.190323;null;20.987097;null;
2009-11-30;8;122.3;33.883333;null;23.876667;null;
2009-12-31;15;356.6;31.193548;null;23.348387;null;
2010-01-31;12;239.3;34.870968;null;24.329032;null;
2010-02-28;6;51.5;35.6;null;24.728571;null;
2010-03-31;16;386.2;32.425806;null;23.06129;null;
2010-04-30;11;222.6;29.426667;null;21.113793;null;
2010-05-31;8;49.3;28.158065;null;18.66129;null;
2010-06-30;9;44.4;26.576667;null;15.406667;null;
2010-07-31;7;50.3;27.8;null;17.112903;null;
2010-08-31;6;7.7;27.264516;null;16.312903;null;
2010-09-30;8;36.7;28.81;null;18.526667;null;
2010-10-31;14;73;27.941935;null;19.235484;null;
2010-11-30;15;90.4;29.52;null;20.89;null;
2010-12-31;17;151.4;32.074194;null;24.219355;null;
2011-01-31;12;166.1;34.035484;null;24.106452;null;
2011-02-28;4;22.3;35.817857;null;24.603571;null;
2011-03-31;18;112.6;30.177419;null;22.825806;null;
2011-04-30;10;179.1;31.286667;null;21.9;null;
2011-05-31;13;90.8;26.851613;null;18.209677;null;
2011-06-30;7;29;26.076667;null;15.986667;null;
2011-07-31;5;11.9;26.606452;null;15.874194;null;
2011-08-31;6;7.9;28.674194;null;17.925806;null;
2011-09-30;6;21.7;27.33;null;17.31;null;
2011-10-31;6;63.6;29.183871;null;19.977419;null;
2011-11-30;10;78.8;28.036667;null;19.786667;null;
