Nome: CARMO
Codigo Estacao: 83807
Latitude: -21.93583333
Longitude: -42.60611111
Altitude: 342.19
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;273.4;31.125806;null;20.509677;null;
2008-02-29;16;222.1;32.544828;null;21.206897;null;
2008-03-31;17;208.4;32.248387;null;20.23871;null;
2008-04-30;12;157.5;30.76;null;19.993333;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;8;22.7;26.473333;null;15.62;null;
2008-07-31;2;.6;28.125806;null;12.541935;null;
2008-08-31;4;5.5;29.753333;null;15.713333;null;
2008-09-30;8;56.9;28.046667;null;15.906667;null;
2008-10-31;12;157.9;29.296774;null;19.787097;null;
2008-11-30;25;187.4;28.266667;null;19.926667;null;
2008-12-31;20;482.6;28.187097;null;20.393548;null;
2009-01-31;20;364.2;30.374194;null;21.587097;null;
2009-02-28;14;137.9;32.439286;null;21.603571;null;
2009-03-31;12;126.3;31.764516;null;21.583871;null;
2009-04-30;9;96.4;29.046667;null;19.006667;null;
2009-05-31;4;19.6;27.229032;null;17.096774;null;
2009-06-30;7;23.4;25.513333;null;14.636667;null;
2009-07-31;6;21;26.351613;null;16.13871;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;8;93.5;30.393333;null;18.99;null;
2009-10-31;20;262.3;29.325806;null;20.13871;null;
2009-11-30;13;96.5;33.15;null;21.77;null;
2009-12-31;22;445.2;30.351613;null;21.358065;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;5;52;34.446429;null;21.910714;null;
2010-03-31;16;205.6;31.574194;null;21.587097;null;
2010-04-30;11;53.4;29.486667;null;18.776667;null;
2010-05-31;9;44.9;26.790323;null;16.616129;null;
2010-06-30;3;2.7;25.3;null;12.83;null;
2010-07-31;7;37.9;26.654839;null;15.570968;null;
2010-08-31;2;2.7;27.825806;null;13.358065;null;
2010-09-30;6;19.7;29.156667;null;16.613333;null;
2010-10-31;13;138.7;28.703226;null;18.222581;null;
2010-11-30;21;299.9;28.573333;null;19.956667;null;
2010-12-31;18;406.7;32.241935;null;21.832258;null;
2011-01-31;13;209.6;31.677419;null;21.741935;null;
2011-02-28;6;104.7;34.367857;null;21.653571;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;10;83.3;29.59;null;19.866667;null;
2011-05-31;6;32.8;25.912903;null;15.416129;null;
2011-06-30;4;14.3;24.943333;null;14.316667;null;
2011-07-31;1;.2;26.241935;null;13.770968;null;
2011-08-31;2;14.8;29.006452;null;16.241935;null;
2011-09-30;2;1.6;28.936667;null;15.666667;null;
2011-10-31;15;144.8;28.732258;null;18.983871;null;
2011-11-30;15;253.6;27.696667;null;18.053333;null;
2011-12-31;18;278.9;29.283871;null;20.606452;null;
2012-01-31;14;468.8;29.932258;null;20.470968;null;
2012-02-29;6;34.2;32.562069;null;20.610345;null;
2012-03-31;12;141.1;31.680645;null;20.43871;null;
2012-04-30;11;75.4;29.29;null;20.166667;null;
2012-05-31;10;109.6;25.696774;null;15.93871;null;
2012-06-30;10;21.4;26.396667;null;16.896667;null;
2012-07-31;3;6;27.041935;null;14.670968;null;
2012-08-31;9;21.7;26.829032;null;15.074194;null;
2012-09-30;4;21.5;29.91;null;16.486667;null;
2012-10-31;7;35.2;32.764516;null;19.203226;null;
2012-11-30;21;275.5;28.92;null;19.973333;null;
2012-12-31;null;null;null;null;null;null;
2013-01-31;22;295.4;31.183871;null;21.322581;null;
2013-02-28;9;111;32.835714;null;21.55;null;
2013-03-31;19;235.8;30.554839;null;21.3;null;
2013-04-30;7;39.2;28.046667;null;18.516667;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;5;20.4;26.393333;null;17.156667;null;
2013-07-31;7;18;25.580645;null;14.925806;null;
2013-08-31;7;27.3;28.012903;null;14.912903;null;
2013-09-30;7;60.5;28.173333;null;16.903333;null;
2013-10-31;15;65;28.441935;null;18.945161;null;
2013-11-30;13;182.8;29.67;null;19.48;null;
2013-12-31;null;288;31.112903;null;21.716129;null;
2014-01-31;null;65.8;34.583871;null;21.245161;null;
2014-02-28;null;15.8;34.525;null;20.982143;null;
2014-03-31;null;81.1;31.96129;null;20.770968;null;
2014-04-30;null;58.4;30.18;null;19.283333;null;
2014-05-31;null;11.7;29.383871;null;16.283871;null;
2014-06-30;null;12.2;27.693333;null;15.913333;null;
2014-07-31;null;23.9;26.177419;null;15.577419;null;
2014-08-31;null;20.2;27.96129;null;14.767742;null;
2014-09-30;null;.3;30.996667;null;16.946667;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;null;158.4;31.09;null;20.236667;null;
2014-12-31;null;79.8;32.690323;null;21.190323;null;
2015-01-31;null;92.5;36.167742;null;22.016129;null;
2015-02-28;null;150.8;33.053571;null;21.528571;null;
2015-03-31;null;126.4;32.241935;null;21.283871;null;
2015-04-30;null;51.4;29.866667;null;19.213333;null;
2015-05-31;null;37.4;26.290323;null;17.106452;null;
2015-06-30;null;20.5;26.676667;null;15.843333;null;
2015-07-31;null;6.7;27;null;16.490323;null;
2015-08-31;null;2.3;28.851613;null;16.045161;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;14.7;32.893333;null;20.290323;null;
2015-11-30;null;192.5;32.066667;null;22.306667;null;
2015-12-31;null;285.9;32.851613;null;21.909677;null;
2016-01-31;null;288.2;31.383871;null;21.951613;null;
2016-02-29;null;147.7;34.165517;null;21.910345;null;
2016-03-31;null;115.2;31.841935;null;22.03871;null;
2016-04-30;null;47.5;32.383333;null;20.08;null;
2016-05-31;null;33.5;27.716129;null;17.219355;null;
2016-06-30;null;50.8;24.473333;null;15.033333;null;
2016-07-31;null;1.3;26.941935;null;15.212903;null;
2016-08-31;null;18.7;29.23871;null;15.558065;null;
2016-09-30;null;49.9;29.933333;null;17.953333;null;
2016-10-31;null;115;29.270968;null;19.545161;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;null;266.1;31.754839;null;21.319355;null;
2017-01-31;null;64.8;33.887097;null;22.058065;null;
2017-02-28;null;77.7;32.95;null;21.282143;null;
2017-03-31;null;49.3;32.629032;null;20.325806;null;
2017-04-30;null;25;30.036667;null;19.346667;null;
2017-05-31;null;44.2;27.041935;null;16.480645;null;
2017-06-30;null;7.6;27.45;null;15.563333;null;
2017-07-31;null;6.5;25.632258;null;13.987097;null;
2017-08-31;null;15.5;27.080645;null;14.796774;null;
2017-09-30;null;0;30.53;null;16.41;null;
2017-10-31;null;74.5;32.580645;null;19.63871;null;
2017-11-30;null;null;null;null;null;null;
2017-12-31;null;128.7;31.670968;null;21.619355;null;
2018-01-31;null;222.2;32.970968;null;21.848387;null;
2018-02-28;null;225.2;31.492857;null;21.535714;null;
2018-03-31;null;101.2;32.525806;null;22.006452;null;
2018-04-30;null;116.5;29.46;null;19.423333;null;
2018-05-31;null;29.5;27.912903;null;16.580645;null;
2018-06-30;null;4.2;27.246667;null;16.47;null;
2018-07-31;null;29.8;28.141935;null;14.693548;null;
2018-08-31;null;59.2;26.174194;null;16.074194;null;
2018-09-30;null;103.3;28.733333;null;17.716667;null;
2018-10-31;null;48.8;29.232258;null;19.948387;null;
2018-11-30;null;173;29.82;null;20.463333;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;148.6;32.735714;null;21.985714;null;
2019-03-31;null;114.2;32.322581;null;21.66129;null;

