Nome: IGUAPE
Codigo Estacao: 83821
Latitude: -24.67166666
Longitude: -47.54583333
Altitude: 2.7
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2009-12-18
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;23;450.7;28.487097;24.070323;20.412903;85.524194;
2008-02-29;15;133.8;29.913793;24.8;21.206897;84.422414;
2008-03-31;21;263.9;28.925806;24.019355;20.277419;85.290323;
2008-04-30;19;227.2;27.29;22.066;18.143333;87.358333;
2008-05-31;14;161.1;24.819355;18.668387;13.841935;85.532258;
2008-06-30;14;100.4;22.696667;17.625333;14.126667;86.833333;
2008-07-31;3;19.8;24.354839;17.503226;12.845161;87.645161;
2008-08-31;16;176.6;23.609677;18.967742;15.058065;87.419355;
2008-09-30;18;149.3;23.38;18.733333;15.063333;84.483333;
2008-10-31;17;195.7;25.170968;21.256774;18.306452;85.693548;
2008-11-30;20;151.4;25.836667;22.097333;18.813333;83.766667;
2008-12-31;15;131.7;26.812903;22.510968;18.8;83.741935;
2009-01-31;23;265.3;29.045161;24.411613;20.745161;82.620968;
2009-02-28;17;495.2;29.767857;25.292143;21.660714;86.794643;
2009-03-31;13;111.2;29.829032;24.896129;20.803226;85.709677;
2009-04-30;16;335.3;27.606667;22.264;18.1;84.858333;
2009-05-31;17;96.4;25.632258;20.327097;16.412903;87.733871;
2009-06-30;14;85.8;22.223333;16.145333;11.78;87.7;
2009-07-31;18;427.3;21.167742;17.193548;14.374194;91.959677;
2009-08-31;15;81.3;23.629032;18.252258;14.354839;88.274194;
2009-09-30;22;259.3;24.14;20.084828;16.8;89.916667;
2009-10-31;21;207.5;23.945161;20.54129;17.335484;88.870968;
2009-11-30;15;143.8;30.257692;25.57;21.203846;84.979167;
2009-12-31;13;null;null;null;null;null;

