Nome: PARANAGUA
Codigo Estacao: 83844
Latitude: -25.5361111
Longitude: -48.52833332
Altitude: 4.5
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-08-25
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;26;562.8;null;null;20.941935;84.314516;
2008-02-29;20;414.4;null;null;21.765517;81.732759;
2008-03-31;16;286.1;null;null;21.422581;80.862903;
2008-04-30;17;173.5;null;null;18.946667;83.25;
2008-05-31;10;105.8;null;null;16.367742;80.935484;
2008-06-30;16;116.8;21.546667;16.482667;14.09;83.333333;
2008-07-31;3;17.9;24.345161;18.725161;15.112903;83.975806;
2008-08-31;18;137.9;23.116129;19.029677;16.277419;84.443548;
2008-09-30;19;167;22.693333;18.484;14.973333;82.15;
2008-10-31;22;347.9;24.903226;21.145806;18.654839;85.080645;
2008-11-30;24;360.6;25.48;22.030667;19.28;84.991667;
2008-12-31;14;178.9;27.403226;23.351613;20.058065;78.983871;
2009-01-31;19;309.3;29.103226;24.649677;21.196774;82.072581;
2009-02-28;17;297.6;29.478571;25.515;22.510714;83.660714;
2009-03-31;16;361.2;30.158065;25.664516;22.5;81.435484;
2009-04-30;15;72.2;27.523333;23.208667;20.1;81.475;
2009-05-31;12;45.1;25.551613;20.947742;17.922581;83.66129;
2009-06-30;12;85.8;22.08;17.133333;13.726667;82.558333;
2009-07-31;20;260.3;20.412903;16.765806;14.122581;88.693548;
2009-08-31;10;75.7;23.383871;18.429032;15.341935;84.354839;
2009-09-30;19;285.7;23.396667;19.615333;17.273333;86.475;
2009-10-31;20;131.2;24.193548;20.457419;17.680645;84.330645;
2009-11-30;18;197;30;25.516667;22.25;81.725;
2009-12-31;18;238.1;29.429032;25.389032;22.4;80.766129;
2010-01-31;26;426.1;30.529032;25.788387;22.896774;85.064516;
2010-02-28;14;402.9;32.042857;27.175;23.914286;82.294643;
2010-03-31;20;389.9;29.090323;24.992903;22.022581;83.895161;
2010-04-30;19;352.2;26.54;22.247333;19.31;84.391667;
2010-05-31;14;100.4;24.077419;20.036774;17.167742;84.41129;
2010-06-30;11;141.2;23.62;18.253333;15.026667;84.7;
