Nome: SOROCABA
Codigo Estacao: 83851
Latitude: -23.47999999
Longitude: -47.42666666
Altitude: 597.58
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;18;304.6;28.06129;22.462581;18.870968;80.024194;
2008-02-29;15;105.1;29.875862;23.255862;19.334483;79.827586;
2008-03-31;13;133.9;29.009677;22.883871;18.893548;74.919355;
2008-04-30;14;96.2;27.193333;21.290667;17.166667;80.183333;
2008-05-31;7;80;23.948387;17.543871;12.925806;75.620968;
2008-06-30;5;37.4;24.32;17.624667;13.236667;77.658333;
2008-07-31;1;.5;26.416129;17.507742;11.483871;67.395161;
2008-08-31;7;85.2;26.396774;19.121935;14.122581;71.733871;
2008-09-30;6;51.3;26.29;19.111333;14.166667;68.225;
2008-10-31;12;141.8;28.248387;21.866452;17.677419;74.741935;
2008-11-30;12;108.6;28.26;21.927333;17.363333;73.791667;
2008-12-31;12;216.1;29.612903;22.530968;17.390323;71.540323;
2009-01-31;17;339.8;28.319355;23.087742;19.596774;78.620968;
2009-02-28;17;170.3;30.175;24.241429;20.517857;78.517857;
2009-03-31;8;165;30.567742;24.309677;20.206452;73.814516;
2009-04-30;8;55.9;27.353333;21.156667;16.916667;76.491667;
2009-05-31;8;51;26.203226;19.594194;15.283871;78.790323;
2009-06-30;6;43.4;22.456667;15.692667;11.393333;79.891667;
2009-07-31;14;192.1;22.754839;17.197419;13.36129;83.137097;
2009-08-31;5;39.5;25.687097;18.953548;14.1;71.483871;
2009-09-30;15;154;26.29;20.568667;16.666667;78.158333;
2009-10-31;12;94.1;27.409677;21.465806;17.183871;74.814516;
2009-11-30;16;214.1;31.28;24.946;20.503333;74.033333;
2009-12-31;20;262;29.174194;23.588387;19.741935;77.903226;
2010-01-31;25;417;29.474194;23.946452;20.670968;81.177419;
2010-02-28;8;46.9;31.667857;25.695;21.25;69.375;
2010-03-31;11;142.1;30.064516;23.805161;19.787097;74.580645;
2010-04-30;7;82.7;27.506667;21.548667;17.583333;73.891667;
2010-05-31;6;30.5;24.996774;18.902581;14.580645;75.66129;
2010-06-30;3;17.9;24.56;17.001333;12.066667;72.208333;
2010-07-31;5;56.6;25.85;18.916129;14.251613;71.258065;
2010-08-31;1;1.4;26.203226;18.126452;12.287097;62.75;
2010-09-30;10;53.5;27.863333;20.873333;16.01;66.683333;
2010-10-31;12;69.2;27;20.234194;15.66129;71.225806;
2010-11-30;6;92;29.44;22.590667;17.993333;68.125;
2010-12-31;17;214.8;29.790323;23.8;19.874194;76.290323;
2011-01-31;20;252.1;30.693548;24.872258;20.970968;77.854839;
2011-02-28;12;379.5;31.442857;25.165;20.996429;73.276786;
2011-03-31;13;118.8;27.816129;23.201935;20.251613;76.096774;
2011-04-30;9;81.8;28.233333;22.109333;18.053333;75.591667;
2011-05-31;3;17.9;24.687097;18.08;13.641935;74.314516;
2011-06-30;5;56.3;23.023333;15.786667;10.756667;76.75;
2011-07-31;6;15.2;25.183871;18.088387;13.2;72.620968;
2011-08-31;6;63.6;26.151613;18.989032;13.987097;68.814516;
2011-09-30;1;1;28.263333;19.702;13.793333;63.558333;
2011-10-31;13;201.6;27.758065;21.56;17.480645;71.185484;
2011-11-30;7;64.3;28.136667;21.504;16.576667;68.758333;
2011-12-31;16;130.9;29.364516;23.409677;18.767742;68.653226;
2012-01-31;23;294.5;28.280645;22.394194;18.316129;76.346774;
2012-02-29;12;107.5;31.837931;25.481379;20.851724;69.741379;
2012-03-31;6;62.8;30.554839;23.712903;19.074194;69.185484;
2012-04-30;9;140;28.443333;22.357333;18.356667;75.6;
2012-05-31;7;40;24.758065;18.77871;14.793548;75.766129;
2012-06-30;12;222.9;23.61;18.181333;14.516667;83.591667;
2012-07-31;6;83.4;24.180645;17.245806;12.674194;75.814516;
2012-08-31;0;0;27.267742;19.574194;13.948387;65.604839;
2012-09-30;6;22.5;28.606667;21.156667;15.863333;65.258333;
2012-10-31;9;92.9;31.06129;23.746452;18.593548;66.096774;
2012-11-30;8;126.3;28.71;22.586667;18.236667;69.658333;
2012-12-31;14;268.1;31.33871;25.426452;21.503226;73.991935;
2013-01-31;15;179.1;28.13871;22.943871;19.580645;78.354839;
2013-02-28;14;130.4;30.496429;24.307143;20.546429;73.821429;
2013-03-31;null;148.6;28.709677;23.019355;19.580645;76.709677;
2013-04-30;null;90.9;26.926667;21.02;17.026667;74.691667;
2013-05-31;null;49.8;25.270968;19.302581;15.119355;76.370968;
2013-06-30;null;152.3;23.936667;18.333333;14.57;82.516667;
2013-07-31;null;49.6;23.609677;16.775333;12.38;77.66129;
2013-08-31;null;1.5;26.383871;18.21871;12.322581;68.217742;
2013-09-30;null;65.6;27.06;20.338667;15.32;71.983333;
2013-10-31;null;88.2;27.258065;21.364516;17.196774;69.354839;
2013-11-30;null;110.2;29;23.117333;18.693333;70.083333;
2013-12-31;null;100.8;30.970968;24.518065;20.141935;68.201613;
2014-01-31;null;116.1;33.132258;25.905161;21.025806;73.491935;
2014-02-28;null;76.6;33.117857;26.460714;21.978571;62.303571;
2014-03-31;null;118.7;29.970968;24.127097;20.303226;73.209677;
2014-04-30;null;146;27.956667;21.968667;17.986667;73.958333;
2014-05-31;null;36;25.329032;19.232903;15.177419;74.556452;
2014-06-30;null;14;25.296667;18.737333;14.27;74.558333;
2014-07-31;null;27.4;24.174194;17.650968;13.190323;72.669355;
2014-08-31;null;28.3;27.290323;19.048387;13.280645;65.403226;
2014-09-30;null;90.2;28.523333;21.518;16.5;68.275;
2014-10-31;null;11;30.693548;23.205806;18;64.185484;
2014-11-30;null;206.3;29.083333;22.933333;18.823333;70.783333;
2014-12-31;null;236.7;29.965517;24.248966;20.024138;75.321429;
2015-01-31;null;143.6;32.583871;26.236129;21.758065;76.516129;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;28.866667;23.22;19.366667;82.777778;
2015-04-30;null;null;27.366667;21.514286;17.490909;76.761905;
2015-05-31;null;73.3;24.583871;19.399355;15.832258;83.516129;
2015-06-30;null;6.2;25.043333;18.680667;14.226667;77.033333;
