Nome: IRAI
Codigo Estacao: 83881
Latitude: -27.189451
Longitude: -53.253338
Altitude: 255.39
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;8;104.6;32.295652;25.346087;19.503226;67.032258;
2008-02-29;9;112.2;32.255172;24.878621;19.055172;67.87931;
2008-03-31;12;87;30.729032;23.468387;18.219355;73.782258;
2008-04-30;17;411.3;26.853333;19.214667;14.066667;77.725;
2008-05-31;20;64.9;23.445161;15.540645;10.748387;82.419355;
2008-06-30;18;156.9;19.813333;13.494667;9.453333;85.475;
2008-07-31;15;24.6;26.012903;17.265806;11.954839;79.725806;
2008-08-31;14;104.8;25.135484;18.006452;13.322581;77.983871;
2008-09-30;10;137;24.04;16.369333;10.553333;74.25;
2008-10-31;15;356.5;27.141935;20.909677;16.36129;77.854839;
2008-11-30;9;98.8;30.813333;23.362667;17.54;68.091667;
2008-12-31;9;85.7;32.690323;24.714839;17.967742;60.790323;
2009-01-31;13;126.6;31.070968;24.089032;18.554839;70.919355;
2009-02-28;16;136.9;32.135714;25.39;20.828571;76.4375;
2009-03-31;8;37.7;32.741935;24.64129;18.845161;71.346774;
2009-04-30;8;26.2;31.033333;21.673333;15.186667;65.958333;
2009-05-31;16;239.3;25.23871;17.735484;13.058065;79.556452;
2009-06-30;17;108.5;20.093333;12.850667;8.44;83.991667;
2009-07-31;17;130;18.96129;12.774194;8.651613;82.33871;
2009-08-31;14;221.6;25.219355;17.430968;12.135484;77.370968;
2009-09-30;18;334.7;23.626667;17.766667;13.546667;82.216667;
2009-10-31;12;188.9;28.535484;21.136774;15.845161;76.725806;
2009-11-30;17;320.9;31.353333;24.794667;20.013333;79.608333;
2009-12-31;16;202.9;31.929032;25.507097;20.535484;75;
2010-01-31;14;163.6;32;25.64129;21.051613;77.798387;
2010-02-28;9;159.5;33.585714;26.525714;21.764286;75.392857;
2010-03-31;13;199.9;30.819355;23.394839;18.329032;78.145161;
2010-04-30;13;378.6;26.826667;19.593333;14.993333;80.491667;
2010-05-31;23;180.1;21.516129;15.850323;12.329032;87.814516;
2010-06-30;18;76;22.486667;15.485333;11.153333;85.15;
2010-07-31;21;182.2;21.877419;14.454194;9.741935;84.241935;
2010-08-31;12;72;23.754839;15.691613;10.109677;74.733871;
2010-09-30;15;176.2;25.513333;18.752;13.833333;74.975;
2010-10-31;13;145.4;26.664516;19.628387;13.896774;69.903226;
2010-11-30;7;68.2;29.926667;21.776;15.12;66.508333;
2010-12-31;16;318.5;30.490323;24.114839;18.819355;73.645161;
2011-01-31;17;109.1;32.541935;25.683871;21.070968;77.225806;
2011-02-28;17;278.5;30.664286;24.875;21.371429;83.428571;
2011-03-31;11;224.8;30.232258;23.465806;17.974194;77.16129;
2011-04-30;22;149.5;27.913333;20.338667;15.813333;83.083333;
2011-05-31;23;85.6;23.677419;16.330323;12.129032;84.169355;
2011-06-30;21;357.1;19.893333;13.834667;10.093333;86.308333;
2011-07-31;26;255.5;21.387097;14.704516;10.651613;84.354839;
2011-08-31;15;190.1;23.148387;16.236129;11.651613;78.903226;
2011-09-30;15;132.1;26.427586;18.352;12.4;73.5;
2011-10-31;12;283.4;28.341935;21.086452;15.929032;73.177419;
2011-11-30;9;86.1;29.4;22.436;16.446667;69.65;
2011-12-31;8;62.7;31.916129;24.350968;17.464516;61.741935;
2012-01-31;11;90.4;33.432258;25.814194;19.541935;62.701613;
2012-02-29;9;91.6;34.655172;26.73931;21.137931;66.232759;
2012-03-31;6;60.8;31.754839;23.007742;16.767742;65.798387;
2012-04-30;16;192.9;27;20.073333;15.433333;79.3;
2012-05-31;21;33.4;25.219355;16.874839;11.380645;81.983871;
2012-06-30;20;123.8;21.889655;14.975172;10.731034;83.37931;
2012-07-31;20;228.1;20.806452;13.777143;9.793548;82.017857;
2012-08-31;9;16.1;27.554839;19.583226;14.303226;70.830645;
2012-09-30;7;72.2;28.213333;20.078667;13.913333;65.025;
2012-10-31;16;281.5;28.045161;21.694194;16.877419;75.741935;
2012-11-30;8;99.6;31.566667;24.314667;17.886667;65.675;
2012-12-31;16;319.3;32.109677;25.858065;20.858065;76.016129;
2013-01-31;7;146.6;32.606452;24.953548;18.632258;65.443548;
2013-02-28;12;126.2;31.578571;24.75;19.685714;74.017857;
2013-03-31;18;316.8;27.593548;21.454194;17.148387;79.483871;
2013-04-30;20;152.5;27.76;19.133333;13.926667;80.783333;
2013-05-31;20;98.8;23.78;16.708387;12.686667;84.016129;
