Nome: CAMPOS NOVOS
Codigo Estacao: 83887
Latitude: -27.38388888
Longitude: -51.21611111
Altitude: 962.86
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2017-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;10;196;25.116129;19.612258;15.741935;77.774194;
2008-02-29;11;112.8;25.710345;19.741379;15.151724;74.87931;
2008-03-31;11;115.8;24.835484;19.058065;15.183871;78.5;
2008-04-30;15;248.7;21.613333;15.837333;11.793333;78.183333;
2008-05-31;7;84.8;19.316129;13.284516;8.96129;74.879032;
2008-06-30;12;249;16.17;10.837333;7.043333;80.233333;
2008-07-31;8;37.5;20.96129;14.32;9.954839;72.459677;
2008-08-31;12;110.3;19.822581;14.143226;10.332258;78.282258;
2008-09-30;12;224.8;19.086667;12.704667;8.33;75.691667;
2008-10-31;19;408.1;21.422581;16.312903;12.896774;83.443548;
2008-11-30;11;146.5;23.956667;17.891333;13.87;76.491667;
2008-12-31;9;107;26.3;19.610968;14.66129;67.677419;
2009-01-31;16;191.9;24.687097;19.232903;14.977419;76.887097;
2009-02-28;15;54.6;26.682143;20.9;17.085714;79.892857;
2009-03-31;13;97.6;26.796774;20.501935;16.209677;76.733871;
2009-04-30;6;22.9;24.82;18.109333;13.54;69.641667;
2009-05-31;10;218.7;21.125806;14.642581;10.270968;78.83871;
2009-06-30;12;64.2;16.736667;10.510667;6.396667;79.316667;
2009-07-31;14;261.4;16.293548;10.389677;6.503226;81.241935;
2009-08-31;13;258;21.223333;14.351613;9.548387;75.153226;
2009-09-30;16;494.4;19.69;14.354667;10.996667;85.916667;
2009-10-31;15;182.6;23.667742;17.042581;12.364516;77.798387;
2009-11-30;18;179.5;27.566667;21.312;17.08;78.825;
2009-12-31;14;142.3;27.474194;21.256774;16.545161;73.459677;
2010-01-31;20;280.3;26.164516;21.042581;17.577419;84.233871;
2010-02-28;14;189.4;27.789286;21.627143;17.992857;80.223214;
2010-03-31;14;230.3;24.896774;19.296129;15.496774;80.201613;
2010-04-30;12;344.2;22.34;16.666;12.83;78.391667;
2010-05-31;18;258.4;17.983871;13.107742;10.006452;86.508065;
2010-06-30;10;89.4;18.48;12.643333;8.8;81.1;
2010-07-31;10;157.6;18.609677;12.474194;8.245161;80.25;
2010-08-31;7;95.5;19.680645;12.904516;8.416129;73.467742;
2010-09-30;12;132.4;21.423333;14.950667;10.986667;76.233333;
2010-10-31;11;155.8;21.535484;15.332258;10.554839;74.604839;
2010-11-30;12;82;25.073333;18.201333;13.186667;67.858333;
2010-12-31;19;246.4;25.109677;19.666452;15.56129;76.290323;
2011-01-31;20;101.2;27.76129;21.518065;17.503226;79.258065;
