Nome: SAO JOAQUIM
Codigo Estacao: 83920
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.07
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2017-05-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;196.2;21.048387;16.032258;12.583871;86.435484;
2008-02-29;17;195.8;21.872414;16.166897;12.237931;85.163793;
2008-03-31;17;160.3;20.825806;15.696129;12.306452;87.314516;
2008-04-30;13;214.6;18.323333;13.018667;9.383333;83.933333;
2008-05-31;7;129.5;16.248387;10.667097;7.064516;77;
2008-06-30;14;201.9;13.486667;8.319333;4.55;80.558333;
2008-07-31;10;53.1;17.33871;11.949677;8.345161;73.387097;
2008-08-31;13;129.9;16.596774;11.285161;7.674194;77.08871;
2008-09-30;15;248.1;15.283333;9.559333;5.226667;81.391667;
2008-10-31;18;382.8;17.529032;12.969032;9.619355;85.677419;
2008-11-30;21;238.3;18.59;13.968667;10.726667;87.241667;
2008-12-31;12;90;21.522581;15.378065;11.258065;79.419355;
2009-01-31;18;192.2;21.090323;15.985161;12.448387;80.459677;
2009-02-28;16;110.6;22.835714;17.554286;14.078571;86.1875;
2009-03-31;13;93.1;22.532258;16.891613;13.525806;84.145161;
2009-04-30;5;23.8;20.353333;14.346;10.636667;80.783333;
2009-05-31;11;113.7;17.425806;11.935484;8.380645;82.637097;
2009-06-30;11;61.9;13.476667;8.180667;4.94;77.575;
2009-07-31;15;197.6;13.264516;7.86129;4.183871;81.040323;
2009-08-31;14;255.4;17.564516;11.826452;7.677419;71.903226;
2009-09-30;16;450.2;16.35;11.545333;8.036667;86.416667;
2009-10-31;12;138;19.1;13.491613;9.351613;81.935484;
2009-11-30;17;247.4;23.306667;18.164;14.5;83.491667;
2009-12-31;13;144.7;22.974194;17.224516;13.464516;83.225806;
2010-01-31;22;371.8;22.574194;17.811613;14.593548;88.879032;
2010-02-28;17;304.1;23.946429;18.802857;15.467857;84.276786;
2010-03-31;19;178.3;21.383871;16.336774;13.229032;85.620968;
2010-04-30;13;229.7;17.846667;13.407333;10.443333;85.891667;
2010-05-31;19;280.1;14.451613;10.70129;7.977419;87.846774;
2010-06-30;9;140.7;14.586667;9.933333;6.6;79.925;
2010-07-31;10;189.3;15.280645;10.143226;6.196774;78.508065;
2010-08-31;7;103.4;15.287097;10.007742;6.390323;74.806452;
2010-09-30;9;246.4;17.216667;12.004;8.236667;76.566667;
2010-10-31;15;153.8;17.029032;11.605161;7.532258;79.66129;
2010-11-30;14;181;19.863333;14.082667;10.076667;78.725;
2010-12-31;15;166.8;21.616129;16.248387;12.212903;81.459677;
2011-01-31;21;198.1;23.703226;18.236774;14.893548;85.177419;
2011-02-28;23;363.4;22.246429;17.614286;14.753571;88.508929;
2011-03-31;13;189.6;20.587097;15.473548;11.974194;85.072581;
2011-04-30;9;117.4;19.353333;14.184;10.8;82.55;
2011-05-31;13;101.5;14.467742;9.984516;7.067742;86.427419;
2011-06-30;13;146.3;13.362069;8.527333;4.765517;81.175;
2011-07-31;15;235.1;14.541935;9.794194;6.725806;78.790323;
2011-08-31;16;372;14.953333;9.856129;6.25;79.943548;
2011-09-30;10;145.2;17.093333;11.244;6.82;73.683333;
2011-10-31;11;168.7;18.748387;13.327097;9.609677;77.983871;
2011-11-30;9;66.9;20.163333;14.152;9.73;78.216667;
2011-12-31;16;165.6;20.848387;15.416129;11.2;77.741935;
2012-01-31;19;220.1;21.993548;16.485161;12.790323;81.91129;
2012-02-29;14;185.8;23.841379;18.582759;15.010345;82.508621;
2012-03-31;8;72.8;22.329032;16.004516;11.822581;77.370968;
2012-04-30;10;88.6;19.02;13.660667;10.283333;83.108333;
2012-05-31;6;30.9;16.587097;11.25871;7.522581;79.491935;
