Nome: URUGUAIANA
Codigo Estacao: 83927
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.41
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;7;133.2;32.66129;25.829032;19.174194;66.991935;
2008-02-29;6;98.7;31.862069;25.041379;18.703448;67.603448;
2008-03-31;6;110.9;29.7;23.289677;17.26129;71.274194;
2008-04-30;6;31.4;26.476667;18.88;12.963333;71.45;
2008-05-31;5;78.5;22.135484;15.087742;9.925806;78.314516;
2008-06-30;7;80.2;16.686667;11.098;6.97;78.283333;
2008-07-31;8;86.2;20.9;15.409032;12.045161;76.419355;
2008-08-31;5;82;20.706667;13.963448;8.743333;76.458333;
2008-09-30;6;103;21.283333;14.984;9.653333;73.483333;
2008-10-31;8;236.5;24.86129;19.418065;14.148387;74.266129;
2008-11-30;3;23.1;30.406667;23.848;17.106667;61.583333;
2008-12-31;3;13.8;32.348387;25.579333;18.490323;54.108333;
2009-01-31;10;93.3;31.936667;24.812258;18.309677;65.266129;
2009-02-28;8;146.6;31.625;25.002143;19.185714;71.696429;
2009-03-31;5;138.6;30.43871;23.569677;17.316129;69.846774;
2009-04-30;5;24.7;28.29;20.391333;13.536667;67.525;
2009-05-31;7;96.8;23.974194;17.064516;11.393548;71.629032;
2009-06-30;3;16.6;18.093333;11.009333;5.336667;72.983333;
2009-07-31;3;26.4;17.390323;10.145161;3.964516;70.991935;
2009-08-31;3;33.1;23.329032;15.754839;9.706452;66.604839;
2009-09-30;10;119.4;20.72;15.115333;10.146667;76.975;
2009-10-31;6;87.7;26.351613;19.570323;12.635484;70.129032;
2009-11-30;18;569.3;27.89;23.224667;18.666667;83.008333;
2009-12-31;10;335.3;29.709677;24.333548;18.522581;77.419355;
2010-01-31;8;169;31.090323;25.59871;19.43871;73.983871;
2010-02-28;12;308.1;31.089286;25.345;19.735714;76.080357;
2010-03-31;4;136.5;30.148387;24.18129;17.441935;68.709677;
2010-04-30;6;38.3;26.003333;19.32;13.01;67.725;
2010-05-31;11;196.8;20.870968;15.481935;10.629032;78.217742;
2010-06-30;2;4.5;19.463333;13.562;8.336667;78.733333;
2010-07-31;9;128.2;18.845161;12.569032;7.551613;75.241935;
2010-08-31;3;14.6;19.983871;13.90129;9.067742;72.854839;
2010-09-30;10;151.2;22.253333;17.037333;13.193333;74.1;
2010-10-31;6;44.4;25.383871;19.163226;13.496774;61.548387;
2010-11-30;3;20.9;29.753333;22.641333;15.486667;53.075;
2010-12-31;8;95.3;31.687097;25.16129;18.893548;57.137097;
2011-01-31;13;112.3;33;26.662581;20.283871;68.169355;
2011-02-28;7;68.6;30.696429;25.09;19.353571;67.991071;
2011-03-31;5;78.7;29.774194;23.286452;16.56129;65.217742;
2011-04-30;4;87.8;27.26;20.221333;13.61;65.933333;
2011-05-31;6;120;22.022581;16.046452;10.764516;73.120968;
2011-06-30;6;63;19.036667;13.022;7.876667;75.983333;
2011-07-31;10;71;18.576667;12.376129;6.87;73.185484;
2011-08-31;5;104.8;20.209677;13.916774;8.241935;73.516129;
2011-09-30;6;75.4;25;17.597333;10.233333;63.05;
2011-10-31;8;217.1;24.767742;19.271613;13.309677;69.766129;
2011-11-30;5;57.5;30.263333;23.519333;15.886667;58.108333;
2011-12-31;4;185.8;30.512903;24.189032;17.535484;55.701613;
2012-01-31;5;33.2;32.783871;26.489677;19.867742;56.096774;
2012-02-29;8;101.8;32.97931;26.726207;20.910345;65.793103;
2012-03-31;7;44;30.43871;23.078065;17.016129;61.435484;
2012-04-30;7;135.2;25.87;19.333333;14.226667;68.083333;
2012-05-31;5;39.7;24.512903;17.815484;12.545161;69.806452;
2012-06-30;6;37.3;19.356667;14.077333;9.946667;76.15;
2012-07-31;3;32.4;18.445161;11.451613;6.3;67.282258;
2012-08-31;10;145.9;24.264516;17.723226;12.793548;70.717742;
2012-09-30;5;118.5;24.756667;18.382;13.183333;64.933333;
2012-10-31;15;338;25.119355;20.436774;16.364516;76.322581;
2012-11-30;3;35.6;31.003333;24.624;18.753333;53.891667;
2012-12-31;13;334.8;30.854839;25.072903;19.893548;70.209677;
2013-01-31;7;163.4;30.851613;24.69871;19.125806;60.516129;
2013-02-28;9;257.7;30.578571;24.707857;19.585714;68.035714;
2013-03-31;1;155.4;26.603226;21.360645;16.551613;69.951613;
2013-04-30;null;84.4;26.026667;19.798667;14.66;70.241667;
2013-05-31;null;101.4;20.880645;15.698065;11.796774;78.064516;
2013-06-30;null;25.8;18.86;13.462667;9.393333;77.583333;
2013-07-31;null;102.4;19.451613;13.449677;8.845161;74.540323;
2013-08-31;null;23.1;19.554839;12.713548;7.687097;65.443548;
2013-09-30;null;42.5;23.703333;17.036;11.786667;63.516667;
2013-10-31;null;85.1;27.109677;20.448387;14.248387;60.991935;
2013-11-30;null;225.1;28.81;22.939333;17.346667;66.475;
2013-12-31;null;89.9;33.66129;27.216129;20.76129;54.322581;
2014-01-31;null;171.9;32.835484;26.696774;21.541935;63.16129;
2014-02-28;null;325.9;31.528571;25.722143;21.217857;67.517857;
