Nome: BENTO GONCALVES
Codigo Estacao: 83941
Latitude: -29.164588
Longitude: -51.534104
Altitude: 624.1
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2013-12-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;8;44.8;26.422581;21.239355;16.835484;72.620968;
2008-02-29;9;76.8;26.637931;21.048276;16.634483;75.758621;
2008-03-31;11;91.1;25.967742;20.576774;16.606452;76.830645;
2008-04-30;11;87.4;23.046667;17.148;12.556667;74.325;
2008-05-31;8;168.1;19.632258;14.267097;9.996774;76.120968;
2008-06-30;16;160.2;15.923333;11.389333;7.686667;81.691667;
2008-07-31;11;73;19.606452;14.880645;11.03871;78.290323;
2008-08-31;9;198.5;19.464516;14.114194;9.832258;76.016129;
2008-09-30;10;144.1;18.463333;13.173333;8.826667;75.016667;
2008-10-31;16;309.6;21.235484;16.790968;13.109677;79.564516;
2008-11-30;9;70.3;24.95;19.354667;14.716667;73.541667;
2008-12-31;13;85.8;26.222581;20.294839;15.635484;73.629032;
2009-01-31;15;269.6;25.670968;20.418065;16.145161;76.096774;
2009-02-28;17;144.5;26.557143;21.674286;17.821429;79.785714;
2009-03-31;11;90.6;26.232258;21.023226;17.090323;79.983871;
2009-04-30;6;24.2;24.103333;18.387333;13.733333;75.066667;
2009-05-31;10;134.7;20.764516;15.550323;11.129032;78.556452;
2009-06-30;9;82.9;15.883333;11.131333;7.366667;79.691667;
2009-07-31;13;97.8;15.141935;10.171613;6.277419;77.548387;
2009-08-31;16;257.9;20.825806;15.209032;10.319355;72.725806;
2009-09-30;17;411.7;19.22;14.566;10.876667;83.558333;
2009-10-31;13;145.1;22.693548;16.787097;12.022581;75.016129;
2009-11-30;20;359.5;26.573333;21.566;17.576667;83.125;
2009-12-31;12;232.6;26.393548;21.233548;17.003226;79.629032;
2010-01-31;18;296.4;26.774194;22.033548;18.103226;83.201613;
2010-02-28;13;167.1;28.446429;22.992857;19.075;78.866071;
2010-03-31;17;57.2;25.567742;20.667742;16.758065;81.387097;
2010-04-30;11;142.1;22.413333;17.536;13.38;79.308333;
2010-05-31;17;154.7;17.716129;14.185806;11.141935;86.830645;
2010-06-30;11;129.9;17.836667;13.073333;9.03;80.808333;
2010-07-31;14;213.2;18.125806;12.727742;8.035484;78.233871;
2010-08-31;9;48.8;17.825806;12.951613;8.803226;75.798387;
2010-09-30;13;237.9;20.34;15.486667;11.56;79.558333;
2010-10-31;11;48.8;21.132258;15.626452;11.064516;76.532258;
2010-11-30;12;89.5;24.753333;18.442;13.173333;71.166667;
2010-12-31;10;94.3;26.545161;20.869677;15.929032;73.016667;
2011-01-31;19;174.6;28.541935;22.856129;18.883871;79.903226;
2011-02-28;21;228.5;25.817857;21.630714;18.371429;86.008929;
2011-03-31;12;288.8;24.967742;19.956774;15.693548;79.524194;
2011-04-30;12;157.8;22.98;17.737333;13.306667;80.5;
2011-05-31;10;73;18.541935;14.25871;10.725806;82.298387;
2011-06-30;18;184.3;15.873333;11.531333;7.906667;82.258333;
2011-07-31;17;340.1;16.609677;12.035484;8.567742;80.217742;
2011-08-31;20;261.7;17.590323;12.745806;8.722581;78.379032;
2011-09-30;9;60.6;21.083333;15.058;9.763333;70.425;
2011-10-31;12;102.4;23.212903;17.536129;13.045161;74.701613;
2011-11-30;6;17.1;25.61;19.506667;14.156667;67.958333;
2011-12-31;15;72.6;26.209677;20.050323;15.041935;70.282258;
2012-01-31;9;65.1;27.735484;21.694194;16.893548;72.274194;
2012-02-29;13;184.5;29.341379;23.273103;19.013793;75.905172;
2012-03-31;7;82.2;26.232258;20.367742;15.503226;71.225806;
2012-04-30;10;75.4;22.5;17.140667;13.113333;77.448276;
2012-05-31;3;27.2;21.632258;16.079355;11.254839;73.370968;
2012-06-30;10;54.9;18.103333;13.096;8.843333;77.475;
2012-07-31;10;189.7;16.570968;11.555484;7.345161;79.056452;
2012-08-31;7;67.6;22.829032;17.3;12.380645;69.858333;
2012-09-30;7;237.4;21.406667;16.012667;11.51;73.291667;
2012-10-31;14;163.2;23.729032;18.707742;14.564516;76.927419;
2012-11-30;6;24.1;26.396667;20.452;15.16;66.275;
2012-12-31;13;229.6;28.380645;23.016774;18.080645;72.887097;
2013-01-31;9;114.1;26.53871;20.891613;15.912903;71.459677;
2013-02-28;null;108.5;26.607143;21.333571;17.196429;80.223214;
2013-03-31;null;191.8;22.880645;18.349032;14.570968;81.016129;
2013-04-30;null;114.1;23.37;17.635333;12.97;75.283333;
2013-05-31;null;131.7;19.587097;14.653548;10.516129;77.66129;
2013-06-30;null;143.5;17.22;12.902667;9.24;87.086207;
2013-07-31;null;97.9;17.716129;12.123871;7.258065;77.177419;
2013-08-31;null;312;17.332258;11.996774;7.758065;79.056452;
2013-09-30;null;187.7;20.533333;15.302;10.796667;75.683333;
2013-10-31;null;128.4;22.432258;16.985161;12.164516;75.217742;
2013-11-30;null;288.5;25.876667;19.940667;14.733333;70.491667;
2013-12-31;null;147.9;28.183871;22.202581;17.025806;72.653226;

