Nome: CAXIAS DO SUL
Codigo Estacao: 83942
Latitude: -29.1961111
Longitude: -51.18638888
Altitude: 750.16
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;75.5;26.412;20.6952;16.329032;74.177419;
2008-02-29;11;94.7;null;null;16.22069;75.732759;
2008-03-31;15;86.5;25.416129;19.753548;16.177419;77.556452;
2008-04-30;12;79.4;21.913333;16.707333;12.903333;75.666667;
2008-05-31;7;190.9;19.029032;13.951613;10.419355;75.08871;
2008-06-30;16;131.2;15.94;11.194667;7.833333;78.958333;
2008-07-31;11;71.7;19.783871;14.653548;11.245161;77.120968;
2008-08-31;11;189.2;19.122581;13.585806;9.477419;76.104839;
2008-09-30;13;166.1;18.016667;12.482;8.413333;75.516667;
2008-10-31;18;276.4;20.8;16.01871;12.274194;80.798387;
2008-11-30;11;69.6;24.373333;18.390667;14.06;75.475;
2008-12-31;11;105.6;25.564516;19.418065;14.854839;73.814516;
2009-01-31;17;242.6;25.103226;19.726452;15.83871;77.653226;
2009-02-28;16;150.3;26.2;21.147143;17.514286;80.276786;
2009-03-31;12;58.3;25.654839;20.196129;16.570968;80.612903;
2009-04-30;6;43.4;23.413333;17.611333;13.556667;76.3;
2009-05-31;12;109;20.583871;15.147742;11.322581;77.435484;
2009-06-30;11;82.3;15.46;10.670667;7.253333;79.275;
2009-07-31;11;104.5;16.088;10.0048;6.509677;76.741935;
2009-08-31;14;252.5;20.896774;15.030968;10.309677;78.024194;
2009-09-30;17;421.7;19.026667;13.929333;10.28;84.441667;
2009-10-31;14;146.2;21.993548;16.087097;11.519355;78.354839;
2009-11-30;20;302.2;26.236667;21.159333;17.2;82.241667;
2009-12-31;15;187.8;26.012903;20.623226;16.425806;80.314516;
2010-01-31;20;305.8;26.425806;21.460645;17.76129;82.564516;
2010-02-28;13;111.4;28;22.620714;18.825;77.107143;
2010-03-31;20;106.7;24.677419;19.883226;16.383871;83.669355;
2010-04-30;13;149.8;21.84;17.073333;13.406667;81.2;
2010-05-31;20;155.9;17.006452;13.632258;11;87.459677;
2010-06-30;12;110.7;17.313333;12.808;9.32;81.475;
2010-07-31;15;224.6;17.8;12.68129;8.890323;76.975806;
2010-08-31;13;56.7;17.564516;12.510323;8.832258;76.008065;
2010-09-30;13;208.2;20.006667;15.16;11.606667;75.908333;
2010-10-31;14;73.1;20.093548;15.038065;11.251613;76.145161;
2010-11-30;13;116.1;23.423333;17.732667;13.413333;73.116667;
2010-12-31;16;63.6;25.574194;20.300645;15.967742;73.540323;
2011-01-31;20;201.9;27.206452;21.969032;18.606452;81.322581;
2011-02-28;21;179.6;25.2;20.982857;18.092857;85.839286;
2011-03-31;14;204;24.329032;19.264516;15.664516;79.709677;
2011-04-30;15;156.1;22.34;17.560667;14.22;79.891667;
2011-05-31;12;76.4;17.825806;13.73871;10.983871;82.137097;
2011-06-30;14;171.2;15.706667;11.457333;8.633333;79.333333;
2011-07-31;18;299.5;16.287097;11.823871;8.922581;79.427419;
2011-08-31;20;274.9;17.306452;12.306452;8.741935;78.266129;
2011-09-30;9;88.2;20.586667;14.56;9.966667;70.45;
2011-10-31;12;113.9;22.483871;16.904516;13.03871;73.596774;
2011-11-30;5;21.5;24.746667;18.653333;13.933333;70.5;
2011-12-31;14;60.2;25.241935;19.408387;15.277419;71.362903;
2012-01-31;11;252.4;26.4;20.855484;16.83871;74.040323;
2012-02-29;14;195.9;28.510345;22.86069;19.337931;75.646552;
2012-03-31;6;80.8;25.548387;19.929032;16.006452;72.346774;
2012-04-30;9;93.6;21.533333;16.565333;13.326667;78.541667;
2012-05-31;5;41.5;21.090323;15.687742;11.948387;72.685484;
2012-06-30;10;83;17.676667;12.892667;9.52;77.066667;
2012-07-31;12;203.6;15.948387;11.135484;7.658065;78.943548;
2012-08-31;11;68.1;22.377419;16.952903;12.780645;69.120968;
2012-09-30;11;218.2;21.326667;15.533333;11.393333;73.633333;
2012-10-31;12;205.2;23.725806;18.426452;14.683871;76.451613;
2012-11-30;8;70.6;25.43;19.724;15.06;67.766667;
2012-12-31;12;253.3;27.593548;22.256129;18.180645;75.927419;
2013-01-31;10;131.6;25.716129;20.070968;15.709677;74.241935;
2013-02-28;17;157.3;25.7;20.667143;17.185714;80.964286;
2013-03-31;1;159.9;22.232258;17.834839;14.780645;83.330645;
2013-04-30;null;93.3;22.783333;17.326;13.566667;78.458333;
2013-05-31;null;110.8;19.532258;14.66;11.4;79.306452;
2013-06-30;null;144.9;17.086667;12.896;9.993333;86.15;
2013-07-31;null;82.3;17.5;11.954839;8.26129;75.717742;
2013-08-31;null;373.6;17.029032;11.772258;8.187097;77.991935;
2013-09-30;null;186.2;20.35;15.038;10.96;76.116667;
2013-10-31;null;140.5;21.777419;16.158065;12.025806;76.298387;
2013-11-30;null;284.9;25.33;19.217333;14.593333;70.625;
2013-12-31;null;185.2;27.793548;21.717419;17.245161;72.766129;
2014-01-31;null;163.1;28.719355;23.080645;19.193548;73.645161;
2014-02-28;null;231.5;29.121429;22.762857;18.635714;73.223214;
2014-03-31;null;145.1;24.625806;19.636129;16.283871;79.887097;
2014-04-30;null;111.4;22.163333;17.376667;14.18;80.641667;
2014-05-31;null;115.3;18.448387;13.905161;11.032258;84.604839;
2014-06-30;null;287.4;16.82;12.94;10.18;85.325;
2014-07-31;null;166.3;18.151613;13.15871;9.664516;77.685484;
2014-08-31;null;98.1;20.964516;14.616774;10.058065;70.951613;
2014-09-30;null;177.2;21.1;16.072;12.473333;80.366667;
2014-10-31;null;209.1;24.322581;18.459355;14.283871;76.516129;
2014-11-30;null;122.5;25.496667;19.886;15.453333;72.891667;
2014-12-31;null;210;26.370968;20.874839;17.012903;78.201613;
2015-01-31;null;168.6;27.858065;22.2;18.477419;77.91129;
2015-02-28;null;80;26.860714;21.239286;17.707143;80.928571;
2015-03-31;null;94.1;25.3;20.02;16.554839;81.241935;
2015-04-30;null;159.8;22.77;17.474;14.126667;81.741667;
2015-05-31;null;148.1;19.796774;15.199355;12.354839;82.741935;
2015-06-30;null;215.9;18.34;13.450667;10.106667;77.933333;
2015-07-31;null;272.1;17.745161;13.374839;10.419355;84.096774;
2015-08-31;null;117.5;23.325806;18.01871;14.393548;68.274194;
2015-09-30;null;279.4;20.08;15.022667;11.533333;79.241667;
2015-10-31;null;370.9;20.812903;16.336774;13.025806;85.467742;
2015-11-30;null;127.1;22.84;18.013333;14.56;81.3;
2015-12-31;null;223.9;25.696774;20.983226;17.419355;82.645161;
2016-01-31;null;147.4;27.783871;22.29871;18.290323;74.862903;
2016-02-29;null;189.7;27.751724;22.569655;19.082759;79.448276;
2016-03-31;null;298.7;23.845161;19.229677;16.258065;82.612903;
2016-04-30;null;245.8;24.916667;19.813333;16.74;80.983333;
2016-05-31;null;66.1;16.070968;12.087742;9.387097;86.991935;
2016-06-30;null;6.3;14.846667;9.689333;6.5;75.583333;
2016-07-31;null;275.5;17.909677;12.31871;8.696774;76.145161;
