Nome: TORRES
Codigo Estacao: 83948
Latitude: -29.35027777
Longitude: -49.71666666
Altitude: 4.66
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-04-26
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;81.1;26.558065;23.609032;20.367742;80;
2008-02-29;15;257.1;26.124138;22.946897;19.803448;85.413793;
2008-03-31;14;87.1;25.93871;22.605806;19.309677;84.935484;
2008-04-30;13;136;24.26;19.936;15.876667;83.275;
2008-05-31;6;160;22.329032;17.270323;12.93871;82.241935;
2008-06-30;17;104;18.02;13.974;10.16;86.15;
2008-07-31;10;51;19.780645;16.251613;13.306452;89.387097;
2008-08-31;14;99.5;19.341935;15.466452;12.164516;86.58871;
2008-09-30;12;197;19.743333;16.078667;12.493333;83.65;
2008-10-31;19;172.9;21.65;18.913548;16.106452;85.120968;
2008-11-30;14;145.8;22.636667;20.080667;17.663333;86.508333;
2008-12-31;11;25;24.774194;21.208387;18.222581;85.354839;
2009-01-31;16;200.9;25.493548;22.2;19.074194;85.314516;
2009-02-28;15;118.4;26.407143;23.243571;20.485714;86.875;
2009-03-31;14;112.1;27.009677;23.600645;20.36129;83.830645;
2009-04-30;9;100.8;25.03;20.994;16.896667;79.958333;
2009-05-31;10;80.2;22.522581;17.921935;14.054839;83.387097;
2009-06-30;9;39.6;18.643333;14.184667;10.516667;82.833333;
2009-07-31;8;50.9;17.232258;12.732258;8.951613;84.225806;
2009-08-31;12;161.8;19.622581;15.200645;11.490323;88.298387;
2009-09-30;20;440.3;20.206667;17.133333;14.296667;86.95;
2009-10-31;12;84.1;21.590323;18.341935;15.4;85.637097;
2009-11-30;15;149.1;25.58;22.409333;19.83;88.483333;
2009-12-31;12;107.1;26.303226;23.158065;20.454839;83.959677;
2010-01-31;23;164.9;27.816129;24.585806;21.590323;84.870968;
2010-02-28;10;158.4;29.814286;25.876429;22.257143;80.071429;
2010-03-31;17;162.5;27.335484;23.950968;20.658065;83.008065;
2010-04-30;13;138.8;24.66;20.83;17.55;82.583333;
2010-05-31;20;272;21.848387;18.232903;15.264516;86.403226;
2010-06-30;12;72.5;19.823333;15.617333;11.976667;84.4;
2010-07-31;13;87.4;19.677419;15.053548;11.306452;84.209677;
2010-08-31;14;54.6;17.996774;14.285806;10.819355;83.927419;
2010-09-30;12;124.5;20.523333;17.477333;14.27;83.333333;
2010-10-31;14;39;21.758065;18.206452;14.474194;79.451613;
2010-11-30;12;145.5;23.836667;20.161333;16.353333;80.6;
2010-12-31;14;71.7;25.835484;22.547742;19.409677;82.201613;
2011-01-31;17;324.5;28.190323;24.757419;21.958065;87.556452;
2011-02-28;22;185.2;27.753571;24.77;22.432143;86.1875;
2011-03-31;14;129;24.796774;21.630323;18.474194;84.903226;
2011-04-30;10;99.5;24.61;20.449333;16.656667;85.55;
2011-05-31;11;57.8;22.335484;17.840645;14.216129;81.895161;
2011-06-30;11;168.4;19.016667;14.130667;10.25;83.233333;
2011-07-31;14;265.7;16.929032;13.315484;10.512903;89.209677;
2011-08-31;16;330.1;18.616129;14.947742;11.925806;82.443548;
2011-09-30;9;93.7;19.22;15.697333;11.836667;84.983333;
2011-10-31;13;77.6;21.822581;18.916774;15.812903;82.572581;
2011-11-30;6;31.3;23.47;20.116;16.87;80.508333;
2011-12-31;14;162.7;25.045161;21.505161;17.929032;84.129032;
2012-01-31;14;236.6;26.1;22.977419;20.087097;85.967742;
2012-02-29;8;54.9;27.603448;23.806207;20.541379;85.387931;
2012-03-31;7;12;27.296774;22.955484;18.722581;77.233871;
2012-04-30;10;71.9;24.636667;20.379333;16.503333;78.975;
2012-05-31;8;19.8;23.645161;18.683871;14.270968;83.064516;
2012-06-30;7;66.9;19.833333;14.928;10.696667;84.066667;
2012-07-31;10;127.2;17.958065;13.735484;10.083871;81.508065;
2012-08-31;8;112.3;21.222581;17.254194;13.909677;87.758065;
2012-09-30;13;199.3;21.6;18.000667;14.746667;81.5;
2012-10-31;9;124.2;23.658065;20.09871;17.245161;83.782258;
2012-11-30;7;32.7;25.08;21.406;17.703333;82.191667;
2012-12-31;12;234;27.658065;23.607097;20.03871;84.040323;
2013-01-31;11;152.1;27.296774;23.651613;19.858065;74.991935;
2013-02-28;19;290;27.746429;24.122857;20.95;83.625;
2013-03-31;1;240.9;25.493548;21.966452;18.177419;81.491935;
2013-04-30;null;62.9;24.796667;20.525333;16.26;81.058333;
2013-05-31;null;27.1;21.983871;17.029032;12.732258;83.072581;
2013-06-30;null;102.2;19.516667;15.551333;12.456667;88.2;
2013-07-31;null;57.8;18.722581;13.412903;9.445161;84.959677;
2013-08-31;null;419.1;18.129032;13.765806;10.225806;86.282258;
2013-09-30;null;141.1;20.216667;16.55;13.31;85.783333;
2013-10-31;null;73.4;22.583871;19.066452;15.654839;82.145161;
2013-11-30;null;149.9;23.86;20.432667;17.126667;82;
2013-12-31;null;79.7;26.625806;22.869032;19.716129;84.620968;
2014-01-31;null;173.2;28.977419;24.914194;21.335484;83.959677;
2014-02-28;null;432.4;28.867857;25.106429;21.814286;82.758929;
