Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: 83953
Latitude: -30.842617
Longitude: -55.613073
Altitude: 328.22
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2013-12-16
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;7;84.3;30.470968;23.522581;18.803226;59.5;
2008-02-29;9;134.3;29.506897;23.221379;18.427586;61.284483;
2008-03-31;3;28;27.764516;21.9;17.648387;62.540323;
2008-04-30;6;77.9;24.543333;18.729333;14.913333;59.166667;
2008-05-31;5;78.7;19.609677;14.17871;10.206452;73.879032;
2008-06-30;9;113.2;14.82;10.654;7.14;82.391667;
2008-07-31;11;129.9;18.232258;14.284516;11.719355;83.975806;
2008-08-31;8;145.2;18.503226;12.641935;8.583871;80.943548;
2008-09-30;5;91.5;19.24;12.899333;8.193333;84.068966;
2008-10-31;9;188.1;23.235484;17.481935;13.083871;80.870968;
2008-11-30;5;29;29.026667;21.756667;16;57.633333;
2008-12-31;7;61.4;30.293548;23.017419;16.925806;56.225806;
2009-01-31;6;68.6;32.135484;24.067742;18.041935;53.645161;
2009-02-28;11;256;30.607143;23.477143;18.403571;58.214286;
2009-03-31;8;70.2;28.86129;21.84;17.548387;62.612903;
2009-04-30;2;11.8;27.03;18.654667;13.366667;59.241379;
2009-05-31;7;123.6;22.141935;15.181935;10.283871;80.137097;
2009-06-30;6;22.4;15.95;9.541333;5.1;85.108333;
2009-07-31;5;66.1;15.829032;8.964516;4.46129;80.725806;
2009-08-31;9;45.3;20.564516;14.209032;9.377419;77.879032;
2009-09-30;13;269.4;18.433333;13.276;9.35;86.583333;
2009-10-31;7;135.9;23.887097;16.923871;11.116129;77.758065;
2009-11-30;19;540.8;26.023333;20.832;16.673333;86.675;
2009-12-31;11;219;27.66129;21.733548;16.793548;79.193548;
2010-01-31;8;204.1;30.148387;23.434839;17.9;77.346774;
2010-02-28;12;240.7;28.935714;23.133571;18.935714;82.75;
2010-03-31;7;58.9;28.493548;21.831613;17.183871;79.91129;
2010-04-30;7;132;23.856667;17.117333;12.55;78.816667;
2010-05-31;10;133.4;19.225806;14.323871;11.180645;86.717742;
2010-06-30;7;33.7;17.23;12.108667;8.62;83.966667;
2010-07-31;9;295.3;16.958065;10.916129;6.909677;80.919355;
2010-08-31;6;53.3;17.658065;11.578065;7.322581;78.532258;
2010-09-30;9;182.6;20.163333;14.367333;9.78;81.158333;
2010-10-31;4;19.4;23.167742;16.184516;10.664516;68.104839;
2010-11-30;3;29;27.683333;19.680667;12.9;59.8;
2010-12-31;6;56;31.232258;23.667742;16.73871;57.346774;
2011-01-31;7;61.6;31.551613;25.039355;19.670968;70.282258;
2011-02-28;10;67.8;29.275;22.792143;17.957143;77.535714;
2011-03-31;6;82.8;27.870968;21.01871;15.490323;72.233871;
2011-04-30;6;103.5;25.053333;18.532667;13.866667;74.966667;
2011-05-31;5;42.6;19.787097;13.767097;9.741935;85.225806;
2011-06-30;7;118.4;16.783333;11.235333;7.46;85.358333;
2011-07-31;11;127.4;16.009677;10.367097;6.587097;82.66129;
2011-08-31;9;65.6;17.035484;11.739355;7.758065;82.5;
2011-09-30;7;119.4;21.326667;14.742667;9.62;74.991667;
2011-10-31;9;154.5;22.364516;16.795484;12.16129;80.637097;
2011-11-30;6;54.1;27.566667;20.491333;14.344828;69.266667;
2011-12-31;8;44.9;28.306452;21.43871;15.335484;66.483871;
2012-01-31;6;18.7;32.5;24.580645;17.258065;60.887097;
2012-02-29;12;220.5;29.944828;23.902759;18.948276;75.724138;
2012-03-31;6;58.5;27.806452;21.272903;15.812903;72.959677;
2012-04-30;9;147.5;23.086667;17.262667;12.686667;75.133333;
2012-05-31;6;13.1;22.383871;16.369677;12.019355;78.653226;
2012-06-30;6;77.7;17.34;12.204667;8.233333;81.4;
2012-07-31;6;32.2;15.380645;9.48129;5.03871;76.395161;
2012-08-31;9;127.3;21.435484;15.836774;11.387097;79.887097;
2012-09-30;11;156.1;20.81;15.420667;10.546667;79.475;
2012-10-31;18;298.2;22.870968;18.159355;14.022581;82.112903;
2012-11-30;4;58;27.92;21.505333;15.56;67.466667;
2012-12-31;10;179.8;29.106452;23.116774;17.616129;73.669355;
2013-01-31;8;158.2;28.093548;21.929677;16.477419;73.741935;
2013-02-28;11;84.2;27.885714;22.043571;17.228571;76.910714;
2013-03-31;1;73.9;24.890323;18.895484;13.63871;76.298387;
2013-04-30;null;120.7;23.833333;17.754667;12.636667;78.166667;
2013-05-31;null;200.6;18.309677;13.529032;9.906452;84.516129;
2013-06-30;null;42.7;17.74;12.118;8.236667;83.4;
2013-07-31;null;68.7;17.751613;11.637419;7.429032;82.16129;
2013-08-31;null;65.6;17.280645;10.887742;5.806452;76.112903;
2013-09-30;null;119.6;20.78;14.645333;9.893333;75.866667;
2013-10-31;null;139.8;24.041935;17.367742;11.896667;72;
2013-11-30;null;282.6;26.09;20.126667;14.726667;73.641667;
2013-12-31;null;null;28.99375;22.8025;16.0875;65.765625;

