Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;105;30.403226;24.458065;20.051613;69.919355;
2008-02-29;10;72.1;29.755172;23.966207;20.024138;75.37931;
2008-03-31;11;75.1;29.703226;23.829032;19.73871;73.733871;
2008-04-30;17;125.2;25.603333;19.646;15.613333;77.941667;
2008-05-31;11;220.7;22.345161;16.645161;12.822581;81.653226;
2008-06-30;18;124.8;18.09;13.014;9.82;85.691667;
2008-07-31;14;138.4;21.216129;16.216129;13.058065;83.725806;
2008-08-31;14;121.9;21.090323;15.473548;11.435484;80.233871;
2008-09-30;10;156.5;21.33;15.962667;12.063333;76.8;
2008-10-31;16;219.5;24.141935;19.252258;15.764516;78.524194;
2008-11-30;12;21.8;27.833333;21.861333;17.686667;73.591667;
2008-12-31;12;120.6;29.135484;23.121935;18.445161;71.741935;
2009-01-31;14;169.6;29.045161;23.553548;19.429032;75.491935;
2009-02-28;14;111.4;30.232143;24.718571;20.689286;75.258929;
2009-03-31;12;72.6;29.245161;23.670323;20.019355;78.201613;
2009-04-30;4;31;27.55;20.844;16.23;74.05;
2009-05-31;14;106.1;23.887097;17.748387;13.712903;79.951613;
2009-06-30;13;57.1;18.863333;13.277333;9.646667;81.95;
2009-07-31;11;57.2;17.503226;11.959355;8.03871;79.25;
2009-08-31;13;264.5;23.135484;16.693548;11.832258;76.814516;
2009-09-30;17;293.7;21.99;17.048667;13.806667;82.333333;
2009-10-31;12;125;25.125806;18.917419;14.467742;75.008065;
2009-11-30;19;287.6;27.966667;23.22;19.756667;81.666667;
2009-12-31;14;143.8;28.954839;23.76129;19.935484;76.282258;
2010-01-31;15;173.7;30.277419;25.144516;21.245161;77.572581;
2010-02-28;11;110.9;32.410714;26.442143;22.225;73.732143;
2010-03-31;17;103.1;28.967742;23.689677;19.748387;78.959677;
2010-04-30;13;71.6;25.983333;20.157333;15.68;78.775;
2010-05-31;23;119.9;21.448387;17.282581;14.316129;85.903226;
2010-06-30;12;204.6;20.46;15.063333;11.143333;83.241667;
2010-07-31;12;170.2;20.748387;14.445161;10.016129;81.096774;
2010-08-31;11;95.5;19.996774;14.627097;10.945161;80.701613;
2010-09-30;13;180.8;22.003333;17.524667;14.28;79.4;
2010-10-31;8;57.8;23.932258;18.407097;14.022581;73.677419;
2010-11-30;9;72.1;27.516667;21.008667;16.126667;70.633333;
2010-12-31;10;92.9;29.741935;23.572258;18.977419;73.064516;
2011-01-31;15;135.7;32.022581;26.165806;22.564516;78.943548;
2011-02-28;16;119.5;30.189286;25.071429;21.725;80.232143;
2011-03-31;10;83.1;28.841935;22.983871;19.174194;77.193548;
2011-04-30;14;172.7;26.693333;20.448;16.526667;82.508333;
2011-05-31;14;50.1;22.229032;16.603871;13.216129;83.451613;
2011-06-30;12;109.6;18.823333;13.682;10.41;81.958333;
2011-07-31;18;225.7;18.36129;13.18129;9.980645;84.862903;
2011-08-31;19;182.3;19.948387;14.746452;11.412903;79.927419;
2011-09-30;9;53;23.51;16.71;11.966667;74.966667;
2011-10-31;11;123.7;25.780645;19.845161;15.803226;72.903226;
2011-11-30;4;13.7;28.843333;21.906;17.046667;68.825;
2011-12-31;11;52.1;29.629032;22.880645;18.396774;70.25;
2012-01-31;9;166;31.251613;24.762581;20.164516;70.330645;
2012-02-29;11;139.5;33.572414;26.597241;22.3;71.672414;
2012-03-31;9;122.7;30.33871;23.549032;18.780645;69.379032;
2012-04-30;10;77.1;26.113333;19.863333;16.016667;75.558333;
