Nome: TEUTONIA
Codigo Estacao: 83972
Latitude: -29.448748
Longitude: -51.799035
Altitude: 64.45
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2011-11-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;125.7;null;null;17.312903;74.120968;
2008-02-29;8;148.9;null;null;17.255172;76.301724;
2008-03-31;10;60.2;null;null;15.887097;76.290323;
2008-04-30;6;99.7;null;null;12.383333;78.391667;
2008-05-31;8;224.6;null;null;7.764;80.983871;
2008-06-30;14;142.4;null;null;null;83.3;
2008-07-31;7;89.3;22.695455;16.157273;11.35;83.129032;
2008-08-31;11;179.6;22.622581;15.297419;9.387097;79.532258;
2008-09-30;10;136.5;23.063333;15.335333;8.046667;75.475;
2008-10-31;15;346.3;24.996774;19.259355;13.464516;77.620968;
2008-11-30;6;28.3;29.226667;22.592;15.946667;68.65;
2008-12-31;8;57.8;30.951613;23.478065;16.574194;70.104839;
2009-01-31;12;296.2;29.893548;23.095484;17.380645;76.435484;
2009-02-28;11;127.9;30.375;24.092143;17.4;76.794643;
2009-03-31;13;74.4;29.783871;22.8;16.893548;82.58871;
2009-04-30;1;16;27.653333;19.400667;13.11;80.341667;
2009-05-31;7;138.2;24.545161;16.899355;10.806452;82.41129;
2009-06-30;8;60.8;20.096667;12.648;8.163333;82.291667;
2009-07-31;9;87.6;17.945161;10.68129;5.425806;81.08871;
2009-08-31;12;246.7;23.735484;16.679355;9.867742;77.217742;
2009-09-30;17;407.2;22.333333;16.236;10.493333;84.475;
2009-10-31;7;134.4;26.164516;18.548387;10.887097;73.879032;
2009-11-30;17;349.1;29.593333;23.545333;16.833333;80.575;
2009-12-31;9;159.6;29.848387;23.717419;17.190323;75.870968;
2010-01-31;8;307.4;30.7;24.433548;17.164516;79.58871;
2010-02-28;11;204.1;32.685714;25.915714;19.882143;77.169643;
2010-03-31;10;121.2;29.477419;23.695484;18.509677;81.443548;
2010-04-30;7;116.5;26.083333;19.857333;14.733333;82.808333;
2010-05-31;12;152.6;22.248387;16.46129;12.425806;87.951613;
2010-06-30;10;137.6;21.39;15.180667;10.216667;86.5;
2010-07-31;12;206.6;21.896774;14.574194;9.677419;80.330645;
2010-08-31;7;54.4;21.148387;14.403871;8.787097;81.266129;
2010-09-30;13;291;23.12;17.634667;12.646667;78.458333;
2010-10-31;7;60;24.796774;18.08129;11.796774;76.08871;
2010-11-30;9;115.1;27.996667;20.890667;13.963333;70.833333;
2010-12-31;7;99.3;30.606452;23.75871;16.316129;70.717742;
2011-01-31;8;178.6;33.016129;25.996129;20.241935;76.258065;
2011-02-28;14;170.6;29.742857;24.300714;19.653571;84.553571;
2011-03-31;10;139.2;29.183871;22.036129;16.358065;82.459677;
2011-04-30;7;259.8;26.793333;19.356667;13.27;86.133333;
2011-05-31;7;34.4;22.432258;15.772903;10.419355;87.58871;
2011-06-30;9;169.9;19.466667;13.082667;7.103333;86.008333;
2011-07-31;15;287.6;20.048387;13.075484;8.316129;87.725806;
2011-08-31;17;281.4;22.329167;15.125;9.674194;79.717742;
2011-09-30;8;71.9;null;null;10.203333;80;
2011-10-31;11;180.2;26.412903;19.419355;14.458065;78.91129;
2011-11-30;4;16.7;27.753333;21.296;14.556667;71.041667;

