Nome: BAGE
Codigo Estacao: 83980
Latitude: -31.30555555
Longitude: -54.11944443
Altitude: 245.66
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;7;33.9;29.522581;23.263871;17.425806;65.620968;
2008-02-29;11;111.1;28.713793;22.965517;18.017241;70.017241;
2008-03-31;7;87.7;27.396774;21.394194;16.567742;70.516129;
2008-04-30;7;101.4;24.123333;17.645333;12.89;68.366667;
2008-05-31;8;97.5;20.083871;14.586452;10.625806;76.459677;
2008-06-30;13;174.4;14.88;10.487333;7.223333;80.683333;
2008-07-31;13;123.3;18.977419;14.545161;11.580645;81.58871;
2008-08-31;11;181.8;18.170968;12.227097;7.516129;76.129032;
2008-09-30;8;94.5;18.55;13.273333;8.676667;76.508333;
2008-10-31;7;98.9;22.63871;17.183226;12.483871;74.419355;
2008-11-30;5;121.9;27.663333;21.202667;15.176667;67.075;
2008-12-31;9;104.8;28.193548;21.946452;16.035484;67.733871;
2009-01-31;10;110.3;28.496774;22.371613;16.796774;68.201613;
2009-02-28;12;158.1;28.625;22.78;17.732143;71.205357;
2009-03-31;10;63.2;27.422581;21.589677;16.919355;72.991935;
2009-04-30;1;.8;25.47;18.393333;12.96;69.05;
2009-05-31;8;126.3;22.287097;15.756129;11.303226;73.91129;
2009-06-30;6;44.3;16.106667;10.437333;6.64;76.575;
2009-07-31;6;59.5;14.683871;9.105161;5.090323;74.298387;
2009-08-31;8;210.2;20.529032;14.795484;10.619355;73.693548;
2009-09-30;15;248.9;18.846667;14.016667;10.106667;78.225;
2009-10-31;5;140;23.087097;17.085806;11.187097;68.25;
2009-11-30;19;582.7;26.22;21.346667;16.806667;77.758333;
2009-12-31;9;136.7;27.019355;21.834194;16.680645;71.620968;
2010-01-31;10;212.7;28.951613;23.566452;18.151613;71.282258;
2010-02-28;13;225.4;29.185714;23.961429;19.432143;77.044643;
2010-03-31;6;77.3;27.483871;21.857419;17.009677;71.241935;
2010-04-30;9;81.3;24;17.467333;12.71;72.9;
2010-05-31;17;102.7;19.716129;15.10129;11.590323;80.830645;
2010-06-30;9;106.8;17.083333;12.062667;8.36;77.1;
2010-07-31;13;261.1;17.316129;11.177419;6.841935;75.475806;
2010-08-31;10;40;17.322581;11.952903;7.541935;75.290323;
2010-09-30;12;116.5;20.683333;15.179333;10.766667;74.966667;
2010-10-31;5;30.2;23.03871;16.756129;10.922581;65.701613;
2010-11-30;7;35.6;26.456667;19.549333;12.976667;62.391667;
2010-12-31;5;65;30.754839;23.812903;16.619355;61.032258;
2011-01-31;8;72.7;32.429032;26.370323;20.716129;69.33871;
2011-02-28;7;105.6;30.571429;25.044286;20.085714;72.035714;
2011-03-31;7;101;29.106452;21.603871;15.387097;69.08871;
2011-04-30;7;110.2;26.443333;19.125333;13.47;71.258333;
2011-05-31;7;73.2;20.596774;14.004516;9.567742;76.951613;
2011-06-30;11;115;17.296667;11.488667;7.433333;77.616667;
2011-07-31;11;126.5;16.467742;10.790968;6.651613;75.241935;
2011-08-31;13;107.4;18.003226;11.996129;7.574194;74.443548;
2011-09-30;7;69.5;22.336667;15.192667;9.466667;69.025;
2011-10-31;9;114.6;23.729032;17.527097;11.919355;72.330645;
2011-11-30;4;75.3;28.633333;20.886;13.873333;60.375;
2011-12-31;9;59.1;26.841935;21.108387;15.635484;62.193548;
2012-01-31;5;20.6;30.309677;24.065161;17.741935;56.991935;
2012-02-29;12;208.5;29.189655;24.267586;20.031034;72.241379;
2012-03-31;8;93.8;26.9;21.605161;17.129032;68.927419;
2012-04-30;9;109.8;21.88;16.888667;13.08;75.675;
2012-05-31;3;14.2;22.241935;16.361935;12.345161;79.419355;
2012-06-30;7;117.3;17.643333;12.374;8.733333;78.166667;
2012-07-31;7;69.1;15.167742;9.347097;5.116129;76.266129;
2012-08-31;11;133.7;21.925806;16.729032;12.864516;77.298387;
2012-09-30;10;146.6;20.64;15.784;11.716667;74.833333;
2012-10-31;13;238.4;23.448387;18.873548;14.667742;76.790323;
2012-11-30;6;63.8;27.78;22.142;16.576667;65.075;
2012-12-31;10;197.4;29.432258;24.029677;18.558065;68.08871;
2013-01-31;7;175.8;27.751613;22.578065;17.132258;68.16129;
2013-02-28;11;119.8;27.578571;22.358571;18.003571;75.223214;
2013-03-31;5;38.7;24.693548;19.290968;14.358065;71.532258;
2013-04-30;5;129.6;23.83;17.863333;13.54;74.5;
2013-05-31;12;156;18.716129;13.932903;10.477419;79.556452;
2013-06-30;7;77.3;17.01;11.9;8.246667;82.083333;
2013-07-31;5;53.7;17.206452;11.852258;7.887097;77.870968;
2013-08-31;13;116;16.032258;10.836129;6.809677;75.935484;
2013-09-30;9;177.2;20.686667;15.322;10.96;76.208333;
2013-10-31;10;233.1;22.370968;17.225806;12.448387;76.241935;
2013-11-30;10;235.7;25.52;20.583333;15.706667;74.283333;
2013-12-31;6;41.7;31.119355;24.703226;18.319355;63.387097;
2014-01-31;2;267;30.43871;25.065161;20.467742;70.798387;
2014-02-28;null;257.9;29.310714;24.127857;20.496429;76.428571;
2014-03-31;null;214.8;25.119355;20.087097;15.887097;74.653226;
2014-04-30;null;62.5;22.906667;18.111333;14.613333;77.208333;
2014-05-31;null;42.3;19.270968;14.431613;11.122581;83.129032;
2014-06-30;null;113.4;16.996667;12.430667;9.313333;82.683333;
2014-07-31;null;271.9;18.6;13.128387;9.396774;83.814516;
2014-08-31;null;61.7;20.325806;14.134839;9.732258;74.435484;
