Nome: RIO GRANDE
Codigo Estacao: 83995
Latitude: -32.078809
Longitude: -52.167725
Altitude: 4.89
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2015-01-18
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;5;97.1;28.003226;23.679355;20.090323;71.266129;
2008-02-29;12;131.7;26.944828;22.997931;19.858621;79.491379;
2008-03-31;9;73.4;27.464516;23.044516;19.43871;76.322581;
2008-04-30;11;29.6;24.9;18.845333;13.91;72.958333;
2008-05-31;16;170;21.303226;16.290968;12.425806;81.137097;
2008-06-30;7;63;16.933333;12.636667;9.38;81.733333;
2008-07-31;11;89.2;18.529032;14.98;12.206452;86.032258;
2008-08-31;14;243.6;16.377419;13.100645;9.616129;81.508065;
2008-09-30;7;117.6;16.786667;14.7;12.613333;80.108333;
2008-10-31;8;33.5;21.187097;18.020645;15.519355;75.362903;
2008-11-30;6;23.8;24.166667;20.637333;17.876667;76.625;
2008-12-31;7;42.1;26.377419;21.872258;18.174194;72.967742;
2009-01-31;12;99.6;26.280645;22.813548;20.106452;73.290323;
2009-02-28;10;212;28.042857;23.912143;21.053571;74.794643;
2009-03-31;12;103.8;26.167742;22.768387;19.9;80.443548;
2009-04-30;5;33.2;24.523333;19.629333;15.136667;74.816667;
2009-05-31;8;70.2;21.767742;16.672903;12.403226;82.120968;
2009-06-30;13;118.6;16.336667;11.867333;7.683333;82.616667;
2009-07-31;7;31.5;14.854839;10.543226;6.177419;78.096774;
2009-08-31;11;175.9;19.377419;15.053548;10.948387;80.032258;
2009-09-30;17;138.2;18.273333;15.420667;12.78;81.225;
2009-10-31;6;99.4;19.76129;16.730968;13.322581;77.112903;
2009-11-30;15;265.3;24.84;21.014;18.166667;86.308333;
2009-12-31;10;87;25.606452;21.962581;18.851613;83.016129;
2010-01-31;9;64;28.73871;24.452903;21.635484;82.209677;
2010-02-28;12;266.8;28.828571;24.951429;22.107143;84.839286;
2010-03-31;9;31.6;27.222581;23.064516;19.46129;79.387097;
2010-04-30;17;102.1;24.486667;19.6;15.606667;75.975;
2010-05-31;20;163.1;21.309677;17.506452;14.729032;85.846774;
2010-06-30;10;89.8;18.3;13.882667;10.436667;83.725;
2010-07-31;13;212.4;17.13871;13.209032;9.403226;82.451613;
2010-08-31;10;39.6;17.058065;13.143226;10.016129;82.75;
2010-09-30;11;118.6;19.356667;15.838667;12.86;80.433333;
2010-10-31;6;46.6;21.048387;17.090323;13.493548;73.16129;
2010-11-30;6;39.7;23.503333;18.976;15.246667;72.658333;
2010-12-31;10;37;26.716129;22.64129;19.864516;71.66129;
2011-01-31;8;36.4;29.283871;24.972258;21.583871;77.080645;
2011-02-28;11;135.6;28.775;23.917143;20.410714;80.294643;
2011-03-31;7;407;26.319355;22.412258;19.074194;76.306452;
2011-04-30;10;105.6;24.006667;19.355333;15.32;80.383333;
2011-05-31;14;156.1;20.390323;16.245161;12.864516;81.451613;
2011-06-30;13;134.2;17.01;12.958667;9.926667;85.516667;
2011-07-31;12;43.5;15.506452;11.359355;8.316129;85.887097;
2011-08-31;18;151;16.16129;12.629032;9.864516;84.540323;
2011-09-30;7;59.6;19.23;14.881333;11.623333;76.241667;
2011-10-31;12;68.7;21.564516;17.566452;14.129032;82.459677;
2011-11-30;3;45.6;24.373333;20.153333;16.316667;77.125;
2011-12-31;11;41.2;25.496774;21.15871;17.145161;77.806452;
2012-01-31;8;39;27.693548;23.366452;19.535484;76.032258;
2012-02-29;13;77.6;30.137931;24.838621;20.934483;79.051724;
2012-03-31;8;118.2;28.2;22.521935;17.209677;72.951613;
2012-04-30;10;81.1;23.716667;18.309333;13.256667;75.208333;
2012-05-31;7;7.8;22.883871;17.659355;14.064516;80.701613;
2012-06-30;11;74;18.306667;12.691333;8.23;79.808333;
2012-07-31;6;104.8;16.229032;11.062581;6.870968;78.483871;
2012-08-31;12;113;21.106452;16.645806;13.441935;81.241935;
2012-09-30;10;137.8;20.473333;16.543333;13.476667;76.441667;
2012-10-31;8;90.2;22.632258;19.110323;16.374194;81.056452;
2012-11-30;8;51;26.163333;21.562667;17.996667;73.858333;
2012-12-31;12;136.4;28.683871;23.943871;19.783871;68.266129;
2013-01-31;6;78.8;25.690323;22.702581;19.125806;68.798387;
2013-02-28;12;192.3;27.610714;23.470714;20.232143;71.928571;
2013-03-31;null;27;25.170968;20.611613;16.235484;69.185484;
2013-04-30;null;157.2;23.806667;19.052667;14.966667;75.816667;
2013-05-31;null;89;20.019355;15.261935;11.283871;81.306452;
2013-06-30;null;118.8;17.396667;12.992667;9.516667;79.633333;
2013-07-31;null;68.2;17.326667;12.132903;8.623333;80.806452;
2013-08-31;null;106.4;16.425806;11.96129;8.458065;79.725806;
2013-09-30;null;112.1;19.613333;15.369333;12.07;81.041667;
2013-10-31;null;118.4;21.377419;17.328;14.070968;79.064516;
2013-11-30;null;149.2;24.276667;20.361429;17.096667;77.391667;
2013-12-31;null;52.4;27.835484;23.367742;19.748387;71.556452;
2014-01-31;null;217.8;29.803226;24.910323;21.264516;71.951613;
2014-02-28;null;167.6;28.546429;24.377857;21.367857;76.991071;
2014-03-31;null;184;25.745161;21.492903;18.241935;76.467742;
2014-04-30;null;65.8;23.94;19.498667;16.556667;77.025;
2014-05-31;null;33.2;20.045161;15.189032;11.648387;81.491935;
2014-06-30;null;149;18.06;13.81;10.853333;83.816667;
2014-07-31;null;200.7;18.26129;14.356774;11.616129;83.282258;
2014-08-31;null;40.4;18.974194;14.096774;10.419355;80.629032;
2014-09-30;null;106.6;20.406667;16.383333;13.193333;81.308333;
2014-10-31;null;251.8;23.016129;19.245806;16.470968;78.879032;
2014-11-30;null;66.2;25.126667;21.371333;18.283333;71.366667;
2014-12-31;null;150.4;27.13871;22.855484;19.432258;73.08871;
2015-01-31;null;null;29.272222;24.658824;21.494444;74.055556;

