Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;27;27.222581;22.410968;18.519355;71.879032;
2008-02-29;12;49.4;27.434483;22.411724;18.924138;80.844828;
2008-03-31;11;98;26.416129;21.272258;17.564516;79.08871;
2008-04-30;9;44.4;23.956667;17.300667;12.86;75.833333;
2008-05-31;11;219.7;19.764516;14.527097;11.019355;83.491935;
2008-06-30;12;88.8;15.586667;11.286;8.286667;84.491667;
2008-07-31;8;43.2;18.487097;13.839355;10.958065;86.153226;
2008-08-31;9;85.9;17.493548;12.083871;8.058065;81.66129;
2008-09-30;5;38;17.926667;13.698;10.626667;82.783333;
2008-10-31;5;13.3;21.835484;16.423871;12.193548;76.169355;
2008-11-30;4;11.3;25.873333;20.274;16.14;74.591667;
2008-12-31;11;95.6;25.967742;20.986452;16.883871;75.604839;
2009-01-31;9;96.8;27.496774;22.343226;18.367742;72.370968;
2009-02-28;8;81.7;27.775;22.354286;18.307143;76.857143;
2009-03-31;13;154.1;26.683871;21.821935;18.212903;81.314516;
2009-04-30;4;18.8;24.503333;18.201333;13.61;77.616667;
2009-05-31;11;134.5;21.229032;15.457419;11.451613;81.895161;
2009-06-30;10;59.2;15.876667;10.989333;7.843333;84.366667;
2009-07-31;5;29.2;14.46129;9.442581;6.132258;80.274194;
2009-08-31;7;109.8;19.374194;13.781935;9.683871;80.532258;
2009-09-30;9;65.1;17.553333;13.542;10.66;82.325;
